vehicle_id,charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
1,20171101113839,20171101144639,69054.6,61.2,90.0,367.8,377.3,-7.7,-7.8,21.0,16.0,9.071
1,20171101212850,20171102045945,69180.2,34.0,100.0,363.4,400.6,-7.7,-7.7,19.0,15.0,21.745
1,20171102121246,20171102154916,69284.2,54.0,87.2,367.4,377.0,-7.7,-7.8,23.0,17.0,10.434
1,20171102204546,20171103025825,69377.0,46.0,100.0,366.6,399.0,-7.7,-7.8,21.0,16.0,17.99
1,20171103164054,20171103170824,69431.6,75.2,97.2,372.8,385.8,-29.9,-40.1,18.0,15.0,6.99
1,20171103213445,20171104035405,69546.0,43.2,100.0,365.7,399.5,-7.7,-7.6,16.0,11.0,18.29
1,20171104140007,20171104143907,69612.0,69.6,100.0,370.8,400.2,-29.9,-14.6,19.0,14.0,9.907
1,20171104210147,20171105042347,69759.2,34.0,100.0,362.6,399.3,-7.7,-7.8,17.0,13.0,21.297
1,20171105211022,20171106044343,69914.8,32.0,100.0,363.1,395.2,-7.7,-7.7,17.0,13.0,21.856
1,20171106100653,20171106125343,69959.5,75.2,100.0,369.9,394.7,-7.7,-7.7,16.0,12.0,8.089
1,20171106213204,20171107020133,70049.0,60.0,100.0,367.4,400.6,-7.7,-7.7,16.0,13.0,13.029
1,20171107152248,20171107155308,70109.9,70.4,95.2,371.1,384.8,-26.7,-40.5,20.0,16.0,7.78
1,20171107214835,20171108052214,70251.3,33.2,100.0,361.9,400.3,-7.8,-7.7,21.0,15.0,21.871
1,20171108212640,20171109044350,70399.4,35.2,100.0,363.0,394.1,-7.8,-7.8,17.0,13.0,21.078
1,20171109134620,20171109142010,70455.1,74.0,100.0,371.3,401.6,-24.0,-22.8,19.0,15.0,8.615
1,20171109215036,20171110052819,70610.5,32.0,100.0,361.4,394.7,-7.6,-7.8,19.0,15.0,22.055
1,20171110112340,20171110144340,70673.0,70.4,100.0,368.1,397.7,-7.7,-7.8,17.0,14.0,9.692
1,20171110213249,20171111044348,70808.9,35.6,100.0,362.9,396.6,-7.7,-7.7,16.0,11.0,20.767
1,20171111154626,20171111161456,70884.0,64.0,87.2,371.1,383.4,-29.4,-40.2,16.0,12.0,7.321
1,20171111213300,20171112032550,70954.0,47.2,100.0,366.0,398.2,-7.6,-7.7,15.0,10.0,17.012
1,20171112151159,20171112154659,71021.1,67.6,95.6,370.5,385.9,-21.0,-40.2,18.0,13.0,8.908
1,20171112210924,20171113041745,71132.0,36.0,100.0,364.5,398.1,-7.6,-7.7,17.0,11.0,20.651
1,20171113112108,20171113153939,71199.7,62.0,100.0,368.3,400.1,-7.7,-7.7,17.0,13.0,12.503
1,20171113212359,20171114042608,71329.9,36.8,100.0,363.5,396.7,-7.8,-7.6,16.0,10.0,20.345
1,20171114164716,20171114172246,71437.9,45.2,74.0,369.9,381.5,-29.1,-40.3,18.0,11.0,9.08
1,20171114202653,20171115033812,71493.5,35.2,100.0,363.1,398.0,-7.6,-7.7,16.0,9.0,20.773
1,20171115153615,20171115161715,71562.6,65.2,0.0,371.1,0.0,-26.8,-300.0,16.0,10.0,10.643
1,20171116124648,20171116133658,71650.8,35.2,75.2,367.4,383.5,-26.3,-40.3,13.0,4.0,12.82
1,20171116211519,20171117044049,71791.4,34.0,100.0,361.4,399.7,-7.7,-7.7,17.0,9.0,21.468
1,20171117122542,20171117134502,71905.7,38.0,100.0,368.5,399.0,-26.3,-14.7,22.0,11.0,19.905
1,20171117195240,20171118030149,72009.4,35.2,100.0,362.2,399.7,-7.7,-7.7,15.0,7.0,20.658
1,20171118151351,20171118162121,72113.3,39.2,93.2,368.8,385.2,-26.7,-39.9,18.0,9.0,17.078
1,20171118210257,20171119035159,72186.0,39.6,100.0,363.6,397.9,-7.8,-7.7,14.0,6.0,19.704
1,20171119145127,20171119160207,72307.5,34.0,90.8,365.9,383.8,-26.1,-40.2,21.0,11.0,17.97
1,20171119213638,20171120051948,72392.6,32.0,100.0,360.1,400.1,-7.7,-7.6,15.0,6.0,22.294
1,20171120103917,20171120144827,72450.8,63.2,100.0,367.4,395.9,-7.7,-7.7,13.0,7.0,12.038
1,20171120213649,20171121045408,72565.4,34.0,100.0,362.3,399.5,-7.6,-7.7,13.0,8.0,21.061
1,20171121145535,20171121153615,72628.9,67.6,100.0,371.5,391.2,-26.5,-3.7,16.0,10.0,10.467
1,20171121213449,20171122050022,72742.0,33.2,100.0,361.9,400.5,-7.7,-7.6,14.0,9.0,21.465
1,20171122111311,20171122152941,72812.3,62.0,100.0,367.4,398.6,-7.6,-7.6,14.0,9.0,12.383
1,20171122213807,20171123045241,72919.7,34.8,100.0,362.6,397.9,-7.6,-7.6,14.0,7.0,20.928
1,20171123164613,20171123171813,72986.9,64.0,89.6,370.7,384.3,-26.5,-40.0,14.0,10.0,8.132
1,20171123214336,20171124053316,73080.4,30.0,100.0,360.0,398.4,-7.7,-7.7,14.0,6.0,22.599
1,20171124113213,20171124155123,73140.5,61.6,100.0,367.6,394.6,-7.7,-7.7,12.0,6.0,12.53
1,20171124213548,20171125044717,73256.0,35.2,100.0,362.9,399.7,-7.6,-7.7,13.0,8.0,20.788
1,20171125162141,20171125170831,73332.2,63.2,100.0,369.6,398.9,-30.3,-9.9,17.0,11.0,12.02
1,20171125212544,20171126043513,73456.2,35.6,100.0,362.9,399.3,-7.7,-7.6,15.0,8.0,20.679
1,20171126162733,20171126170533,73530.5,62.4,93.2,370.7,385.6,-26.2,-40.2,15.0,9.0,9.717
1,20171126213717,20171127050307,73627.1,33.2,100.0,361.8,399.9,-7.6,-7.7,13.0,6.0,21.465
1,20171127110600,20171127145300,73685.0,66.4,100.0,368.1,397.2,-7.7,-7.7,12.0,7.0,10.979
1,20171127213029,20171128045908,73819.7,32.0,100.0,361.9,398.2,-7.7,-7.6,13.0,7.0,21.603
1,20171128154144,20171128163744,73920.9,45.2,91.2,372.4,384.5,-40.8,-40.8,17.0,9.0,14.55
1,20171128210843,20171129045443,74006.0,30.8,100.0,360.3,398.2,-7.6,-7.8,14.0,6.0,22.429
1,20171129213331,20171130035330,74093.1,43.2,100.0,364.2,400.6,-7.7,-7.6,9.0,4.0,18.298
1,20171130104827,20171130143807,74142.0,66.0,100.0,367.2,397.8,-7.6,-7.7,8.0,4.0,11.099
1,20171201181921,20171201190051,74372.5,41.6,75.6,372.6,382.1,-41.0,-41.1,15.0,8.0,10.754
1,20171201214430,20171202045339,74430.7,36.0,100.0,362.4,397.1,-7.7,-7.7,14.0,6.0,20.666
1,20171202171644,20171202174814,74519.0,56.0,81.2,370.5,383.2,-26.2,-40.4,14.0,8.0,8.068
1,20171202214013,20171203052422,74593.1,30.8,100.0,360.5,397.8,-7.7,-7.6,13.0,5.0,22.33
1,20171203163426,20171203170956,74674.5,56.8,85.2,370.4,383.5,-26.6,-40.0,15.0,9.0,9.033
1,20171203213119,20171204044708,74748.1,34.8,100.0,362.6,397.5,-7.7,-7.6,13.0,5.0,20.975
1,20171204200356,20171205011651,74823.2,53.2,100.0,369.4,400.4,-7.7,-7.6,7.0,2.0,15.125
1,20171205155136,20171205162616,74879.6,73.2,100.0,376.5,398.7,-40.7,-3.0,13.0,7.0,8.802
1,20171205214003,20171206045632,74983.4,34.0,100.0,363.0,399.7,-7.5,-7.7,12.0,6.0,21.024
1,20171206152905,20171206162155,75052.1,58.8,100.0,373.9,400.4,-37.8,-14.5,16.0,9.0,13.347
1,20171206213757,20171207041117,75142.9,40.8,100.0,364.4,400.8,-7.7,-7.6,13.0,8.0,18.954
1,20171207103757,20171207112207,75204.9,64.4,100.0,372.5,396.2,-26.5,-16.3,14.0,7.0,11.355
1,20171207214725,20171208052719,75338.8,32.0,100.0,358.4,399.7,-7.4,-7.6,10.0,4.0,22.135
1,20171208161427,20171208170237,75417.0,60.4,99.2,371.2,391.5,-26.5,-40.4,16.0,9.0,12.369
1,20171208215021,20171209043920,75508.9,40.0,100.0,363.3,399.3,-7.6,-7.6,13.0,5.0,19.691
1,20171209162945,20171209171415,75620.0,51.6,87.2,377.6,383.1,-40.2,-40.1,18.0,11.0,11.344
