vehicle_id,charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
3,20171101000006,20171101012546,65730.6,36.0,100.0,553.2,597.0,-25.0,-2.0,38.0,27.0,80.49600000000001
3,20171101131903,20171101134913,65877.4,43.0,85.0,552.7,573.8,-138.0,-190.0,40.0,28.0,54.114
3,20171101221353,20171101230903,66021.6,30.0,100.0,558.0,596.0,-179.0,-1.0,44.0,30.0,88.495
3,20171102133846,20171102141256,66167.6,39.0,86.0,558.4,573.5,-151.0,-190.0,42.0,30.0,61.324
3,20171102222516,20171103000136,66311.8,28.0,100.0,550.8,598.0,-68.0,-5.0,43.0,32.0,89.654
3,20171103000216,20171103000226,66311.7,100.0,100.0,590.3,589.3,-1.0,-3.0,43.0,37.0,0.003
3,20171103135748,20171103143158,66459.3,40.0,88.0,558.0,574.2,-199.0,-190.0,43.0,0.0,63.21
3,20171103221919,20171103235009,66603.3,31.0,100.0,553.6,594.6,-84.0,-5.0,44.0,32.0,85.515
3,20171104141755,20171104144925,66751.0,42.0,85.0,559.0,573.4,-189.0,-189.0,41.0,30.0,56.288999999999994
3,20171105020116,20171105030236,66895.9,30.0,100.0,553.3,593.8,-111.0,-1.0,42.0,29.0,88.994
3,20171105115210,20171105120750,66987.8,64.0,0.0,567.0,0.0,-190.0,0.0,38.0,0.0,25.285999999999998
3,20171105143650,20171105145420,67043.0,62.0,86.0,558.5,573.7,-189.0,-188.0,40.0,32.0,31.405
3,20171106012058,20171106015838,67187.8,34.0,82.0,564.9,572.6,-173.0,-173.0,40.0,0.0,61.117
3,20171106020018,20171106021528,67187.8,82.0,100.0,569.0,593.3,-174.0,-1.0,42.0,34.0,20.214000000000002
3,20171106132728,20171106135608,67335.9,44.0,85.0,560.7,573.8,-199.0,-190.0,40.0,28.0,53.711000000000006
3,20171107220051,20171107233021,67771.0,32.0,100.0,555.1,587.7,-87.0,-2.0,37.0,24.0,83.85
3,20171108135343,20171108142303,67918.6,44.0,84.0,560.2,574.5,-189.0,-188.0,37.0,24.0,52.574
3,20171109003721,20171109013351,68063.2,30.0,100.0,563.3,593.9,-173.0,-1.0,41.0,26.0,87.277
3,20171109141456,20171109144526,68211.3,43.0,85.0,561.2,573.5,-193.0,-188.0,41.0,29.0,54.549
3,20171110014536,20171110023736,68356.1,30.0,100.0,550.1,595.2,-18.0,-2.0,44.0,0.0,86.98700000000001
3,20171110143212,20171110143222,68503.6,42.0,42.0,559.2,562.2,-178.0,-199.0,37.0,31.0,0.294
3,20171110143412,20171110150312,68503.6,42.0,84.0,558.1,573.0,-179.0,-189.0,43.0,31.0,54.255
3,20171111013742,20171111031312,68647.7,29.0,100.0,550.9,593.2,-64.0,-4.0,43.0,31.0,88.50399999999999
3,20171111132936,20171111135756,68795.0,44.0,83.0,558.8,572.8,-132.0,-189.0,43.0,31.0,50.79600000000001
3,20171111222326,20171111235916,68939.1,29.0,100.0,552.8,598.1,-98.0,-2.0,43.0,31.0,88.77
3,20171112134324,20171112141134,69085.7,44.0,83.0,561.2,573.1,-189.0,-190.0,41.0,0.0,49.578
3,20171112221814,20171112231444,69230.0,29.0,100.0,550.4,594.9,-41.0,-2.0,44.0,0.0,87.73299999999999
3,20171113122230,20171113123140,69251.3,92.0,100.0,565.3,600.1,-154.0,-7.0,33.0,0.0,10.665999999999999
3,20171113223357,20171113235807,69432.1,35.0,100.0,559.8,595.8,-100.0,-3.0,35.0,0.0,78.997
3,20171113235847,20171113235907,69432.1,100.0,100.0,588.0,586.0,-1.0,-3.0,35.0,30.0,0.006
3,20171114141423,20171114144043,69579.5,47.0,83.0,561.4,574.4,-189.0,-189.0,36.0,25.0,47.44
3,20171115002654,20171115015534,69723.7,34.0,100.0,553.8,590.4,-53.0,-4.0,38.0,0.0,82.861
3,20171115145420,20171115151750,69871.0,48.0,81.0,566.4,564.7,-198.0,0.0,36.0,24.0,43.608999999999995
3,20171116004212,20171116013642,70015.6,30.0,100.0,563.9,594.0,-183.0,-2.0,39.0,0.0,87.65100000000001
3,20171116132125,20171116134345,70162.4,50.0,82.0,565.5,573.8,-199.0,-191.0,38.0,27.0,41.994
3,20171117020145,20171117033035,70306.6,33.0,100.0,551.7,596.9,-15.0,-3.0,38.0,0.0,83.36200000000001
3,20171117033055,20171117033105,70306.6,100.0,100.0,591.0,589.0,-4.0,-4.0,38.0,33.0,0.006999999999999999
3,20171117133455,20171117140015,70453.9,47.0,84.0,552.7,573.5,-97.0,-190.0,40.0,29.0,47.376999999999995
3,20171117215715,20171117232926,70597.7,33.0,100.0,557.9,596.4,-98.0,-2.0,42.0,30.0,82.836
3,20171118135943,20171118142443,70744.9,47.0,84.0,561.1,573.8,-199.0,-190.0,39.0,28.0,46.933
3,20171118220024,20171118233054,70889.1,32.0,98.0,558.0,599.3,-98.0,-38.0,39.0,0.0,83.95100000000001
3,20171118233154,20171118233204,70889.1,100.0,100.0,586.1,585.1,-2.0,-2.0,39.0,33.0,0.003
3,20171119142150,20171119145740,71037.0,45.0,0.0,561.9,0.0,-179.0,0.0,34.0,0.0,48.187
3,20171120020235,20171120033425,71180.9,30.0,100.0,555.2,590.4,-95.0,-6.0,34.0,22.0,85.927
3,20171120115404,20171120120844,71273.9,64.0,85.0,560.5,565.8,-189.0,0.0,31.0,23.0,26.159000000000002
3,20171120143544,20171120143604,71329.0,65.0,65.0,557.9,566.4,-159.0,-205.0,30.0,24.0,0.557
3,20171120144604,20171120145834,71329.0,65.0,84.0,560.9,575.8,-199.0,-190.0,33.0,24.0,23.541
3,20171121020004,20171121061504,71473.5,31.0,0.0,557.2,0.0,-100.0,0.0,32.0,0.0,90.12100000000001
3,20171121132600,20171121135450,71619.5,44.0,84.0,557.7,575.9,-151.0,-189.0,33.0,0.0,51.707
3,20171121235602,20171122005222,71763.9,30.0,100.0,560.6,593.0,-173.0,-3.0,36.0,21.0,86.585
3,20171122134122,20171122141142,71910.6,44.0,86.0,561.9,575.6,-190.0,-190.0,34.0,23.0,54.766999999999996
3,20171123024226,20171123033621,72054.9,33.0,100.0,557.0,595.3,-122.0,-8.0,34.0,0.0,84.023
3,20171123135520,20171123142620,72201.4,42.0,86.0,561.5,575.5,-189.0,-190.0,35.0,23.0,55.983999999999995
3,20171124004628,20171124011758,72345.7,33.0,56.0,552.3,565.0,-24.0,-102.0,30.0,0.0,29.489
3,20171124014038,20171124023808,72345.7,56.0,100.0,555.9,591.2,-13.0,-2.0,33.0,24.0,52.925
3,20171124024508,20171124024518,72345.7,100.0,100.0,570.9,570.8,-1.0,-1.0,33.0,28.0,0.002
3,20171124141840,20171124144750,72492.3,41.0,84.0,562.5,576.0,-199.0,-190.0,33.0,20.0,54.996
3,20171125012447,20171125030057,72638.2,29.0,100.0,558.2,585.4,-100.0,-5.0,32.0,0.0,88.706
3,20171125114013,20171125120703,72730.3,64.0,100.0,566.9,601.9,-199.0,-9.0,31.0,22.0,45.736999999999995
3,20171125143403,20171125143923,72785.2,78.0,85.0,566.6,574.2,-189.0,-190.0,33.0,26.0,9.662
3,20171126011154,20171126020554,72930.4,31.0,100.0,566.5,595.2,-179.0,-2.0,35.0,0.0,85.486
3,20171126133243,20171126135843,73077.3,48.0,0.0,561.8,0.0,-188.0,0.0,34.0,0.0,45.808
3,20171126225354,20171126234424,73221.2,35.0,98.0,565.7,575.9,-173.0,0.0,37.0,22.0,81.056
3,20171127134549,20171127141209,73368.5,46.0,84.0,550.7,566.0,-13.0,0.0,35.0,23.0,48.196000000000005
3,20171128021514,20171128033714,73512.5,38.0,100.0,553.2,591.0,-19.0,-4.0,35.0,24.0,75.932
