vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
1,20171101180757,20171101180937,100,136063.0,133.0,5.6,6.4,0.8000000000000007,325.0,328.0,-59.9,-64.2,0.0,0.0,0.569
1,20171101181147,20171101185227,2440,136063.0,0.0,6.4,23.6,17.200000000000006,322.7,363.9,-2.0,-50.3,0.0,0.0,13.623
1,20171101221133,20171101231154,3621,136105.0,42.0,15.2,34.4,19.2,333.1,374.6,-2.4,-16.4,0.0,0.0,15.671
1,20171102133608,20171102134938,810,136199.0,94.0,17.2,26.0,8.8,342.2,365.1,-88.7,-88.6,0.0,0.0,7.0729999999999995
1,20171102173605,20171102182305,2820,136270.0,71.0,12.8,32.8,20.0,331.5,370.6,-98.5,-16.4,0.0,0.0,16.442999999999998
1,20171102225418,20171102235959,3941,136376.0,106.0,6.4,31.2,24.8,326.7,374.5,-109.4,-18.3,0.0,0.0,20.324
1,20171103193641,20171103195341,1020,136494.0,118.0,18.0,24.8,6.800000000000002,357.9,364.2,-105.0,-29.6,26.0,19.0,5.8329999999999975
1,20171103231237,20171104001954,4037,136536.0,42.0,12.0,31.2,19.2,332.8,374.5,-1.0,-16.3,28.0,15.0,15.714
1,20171104181546,20171104192156,3970,136646.0,110.0,8.4,31.2,22.8,326.2,374.6,-0.6,-16.4,25.0,14.0,18.548
1,20171104213652,20171104234652,7800,136671.0,25.0,28.4,36.0,7.600000000000001,356.5,374.6,-1.9,-7.7,23.0,16.0,6.287000000000001
1,20171110135610,20171110150100,3890,137853.0,1182.0,9.6,31.2,21.6,328.0,374.6,-1.0,-16.4,26.0,15.0,17.715
1,20171110214255,20171110220625,1410,137963.0,110.0,4.8,23.2,18.4,319.5,362.4,-5.6,-30.1,27.0,14.0,14.54
1,20171110235515,20171111003353,2318,138003.0,40.0,14.4,28.4,13.999999999999998,337.7,370.3,-5.6,-11.3,29.0,16.0,11.436
1,20171111145655,20171111161207,4512,138092.0,89.0,8.0,30.8,22.8,333.3,374.6,-85.0,-17.4,23.0,12.0,18.598
1,20171111233004,20171112005321,4997,138210.0,118.0,5.2,34.0,28.8,320.8,374.3,-85.1,-16.1,28.0,12.0,23.241999999999997
1,20171112171806,20171112180816,3010,138301.0,91.0,10.4,28.8,18.4,333.9,370.4,-64.1,-17.4,21.0,12.0,14.845999999999998
1,20171112222302,20171113024239,15577,138349.0,48.0,19.2,35.2,16.000000000000004,339.5,374.7,-8.5,-7.9,16.0,11.0,12.882
1,20171113105800,20171113115920,3680,138455.0,106.0,14.4,34.0,19.6,341.2,374.3,-88.7,-16.0,24.0,14.0,16.664
1,20171114155828,20171114170518,4010,138713.0,258.0,14.8,32.8,17.999999999999996,340.5,373.1,-84.6,-16.0,19.0,10.0,14.824000000000002
1,20171115004833,20171115011159,1406,138804.0,91.0,3.6,13.6,10.0,319.1,344.0,-29.6,-61.3,15.0,9.0,7.447999999999999
1,20171115012203,20171115013113,550,138804.0,0.0,14.0,20.4,6.399999999999999,346.8,364.2,-85.9,-118.1,18.0,10.0,4.965
1,20171115013602,20171115024622,4220,138804.0,0.0,20.8,31.6,10.8,362.6,374.1,-117.7,-11.2,22.0,14.0,8.926
1,20171115150823,20171115165045,6142,138898.0,94.0,12.8,30.8,18.0,331.6,371.5,-9.2,-16.2,18.0,9.0,20.414
1,20171115165402,20171115165603,121,138898.0,0.0,30.8,31.2,0.3999999999999986,369.9,371.7,-5.6,-16.2,18.0,15.0,0.193
1,20171115223011,20171115234521,4510,138975.0,77.0,9.6,33.2,23.6,323.4,374.4,-5.6,-16.2,23.0,10.0,19.12
1,20171201164649,20171201173929,3160,142011.0,3036.0,0.8,28.0,27.2,306.5,368.8,-88.0,-31.1,27.0,11.0,21.498
1,20171202184133,20171202191313,1900,142198.0,187.0,5.2,23.2,18.0,331.8,361.1,-84.8,-26.0,18.0,8.0,14.134
1,20171202220833,20171202222303,870,142241.0,43.0,9.6,19.2,9.6,329.0,362.8,-23.2,-121.6,19.0,9.0,7.808
1,20171202222833,20171202222933,60,142241.0,0.0,19.2,20.4,1.1999999999999993,351.4,362.9,-30.1,-117.2,20.0,13.0,0.631
1,20171202225337,20171202234817,3280,142241.0,0.0,20.0,30.4,10.4,358.3,373.5,-104.7,-17.8,22.0,13.0,8.656
1,20171203210012,20171203212352,1420,142360.0,119.0,3.2,17.2,14.0,277.8,347.0,-5.5,-76.0,16.0,9.0,10.469000000000001
1,20171203233133,20171204000631,2098,142404.0,44.0,4.0,26.8,22.8,293.9,361.7,-20.9,-22.6,26.0,11.0,18.046
1,20171204123120,20171204132230,3070,142500.0,96.0,10.4,32.4,22.0,320.5,368.6,-6.1,-0.1,21.0,6.0,17.706
1,20171205013424,20171205013544,80,142645.0,145.0,30.8,30.8,0.0,374.0,374.3,-12.3,-12.3,25.0,15.0,0.102
