vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
3,20171101000006,20171101012546,5140,65730.6,,36.0,100.0,64.0,553.2,597.0,-25.0,-2.0,38.0,27.0,80.49600000000002
3,20171101131903,20171101134913,1810,65877.4,146.7999999999884,43.0,85.0,42.0,552.7,573.8,-138.0,-190.0,40.0,28.0,54.114
3,20171101221353,20171101230903,3310,66021.6,144.2000000000116,30.0,100.0,70.0,558.0,596.0,-179.0,-1.0,44.0,30.0,88.495
3,20171102133846,20171102141256,2050,66167.6,146.0,39.0,86.0,47.0,558.4,573.5,-151.0,-190.0,42.0,30.0,61.324
3,20171102222516,20171103000136,5780,66311.8,144.1999999999971,28.0,100.0,72.0,550.8,598.0,-68.0,-5.0,43.0,32.0,89.654
3,20171103135748,20171103143158,2050,66459.3,147.60000000000582,40.0,88.0,48.0,558.0,574.2,-199.0,-190.0,43.0,0.0,63.21
3,20171103221919,20171103235009,5450,66603.3,144.0,31.0,100.0,69.0,553.6,594.6,-84.0,-5.0,44.0,32.0,85.515
3,20171104141755,20171104144925,1890,66751.0,147.6999999999971,42.0,85.0,43.0,559.0,573.4,-189.0,-189.0,41.0,30.0,56.288999999999994
3,20171105020116,20171105030236,3680,66895.9,144.89999999999418,30.0,100.0,70.0,553.3,593.8,-111.0,-1.0,42.0,29.0,88.994
3,20171105115210,20171105120750,940,66987.8,91.90000000000872,64.0,0.0,-64.0,567.0,0.0,-190.0,0.0,38.0,0.0,25.285999999999998
3,20171105143650,20171105145420,1050,67043.0,55.19999999999709,62.0,86.0,24.0,558.5,573.7,-189.0,-188.0,40.0,32.0,31.405
3,20171106012058,20171106015838,2260,67187.8,144.8000000000029,34.0,82.0,48.0,564.9,572.6,-173.0,-173.0,40.0,0.0,61.117
3,20171106020018,20171106021528,910,67187.8,0.0,82.0,100.0,18.0,569.0,593.3,-174.0,-1.0,42.0,34.0,20.214000000000002
3,20171106132728,20171106135608,1720,67335.9,148.0999999999913,44.0,85.0,41.0,560.7,573.8,-199.0,-190.0,40.0,28.0,53.71100000000001
