vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
4,20171101135429,20171101160849,8060,69408.0,,80.4,100.0,19.599999999999994,370.9,389.9,-7.8,-7.7,20.0,17.0,6.5070000000000014
4,20180126152148,20180126164358,4930,83849.4,76.39999999999421,37.2,,,365.4,394.1,-39.0,-14.6,16.0,3.0,20.254
4,20180126221740,20180126232410,3990,83938.4,89.0,29.6,,,361.1,382.3,-39.4,-40.4,17.0,2.0,17.009
4,20180127160136,20180127172026,4730,83989.6,51.20000000001164,37.6,,,365.3,391.0,-39.2,-2.9,16.0,3.0,20.044
4,20180127204539,20180127215019,3880,84067.0,77.39999999999421,37.2,,,364.8,383.0,-39.6,-40.1,20.0,5.0,16.533
4,20180128141742,20180128154652,5350,84136.0,69.0,32.0,,,365.4,393.6,-39.7,-14.6,16.0,1.0,21.741999999999997
4,20180128194913,20180128212003,5450,84221.6,85.60000000000579,29.6,,,361.9,391.7,-39.6,-14.0,21.0,5.0,22.34
4,20180129135647,20180129152447,5280,84314.0,92.39999999999418,32.0,,,361.0,394.0,-30.8,-14.1,16.0,3.0,21.737
4,20180129193821,20180129210231,5050,84400.1,86.10000000000582,34.0,,,366.9,391.0,-40.4,-14.2,22.0,8.0,20.886
4,20180130161154,20180130170714,3320,84482.7,82.59999999999127,,,,363.2,388.7,-0.5,-45.4,18.0,8.0,16.297
4,20180131162517,20180131165407,1730,84658.5,83.5,34.0,,,358.8,379.9,-6.4,-42.1,13.0,8.0,7.784
4,20180131165905,20180131170555,410,84658.5,0.0,,,,379.1,380.5,-32.8,-42.1,14.0,10.0,1.85
4,20180131172031,20180131175741,2230,84658.5,0.0,,0.0,,381.4,0.0,-43.1,-400.0,19.0,12.0,9.902000000000001
4,20180131213021,20180131225709,5208,84753.4,94.89999999999418,32.0,,,363.2,381.3,-39.6,-40.4,19.0,5.0,22.178
4,20180201200025,20180201212105,4840,84803.8,50.40000000000872,36.0,,,363.2,391.0,-29.9,-2.4,17.0,6.0,20.525
4,20180202162503,20180202173013,3910,84893.2,89.39999999999418,,,,379.4,390.7,-40.2,-40.0,15.0,5.0,16.711
4,20180205185905,20180205201325,4460,85466.3,573.1000000000057,29.2,,,361.9,383.5,-39.2,-40.8,17.0,5.0,19.043
4,20180205230014,20180206003224,5530,85549.6,83.30000000000291,30.8,,,362.7,391.1,-38.7,-14.2,21.0,5.0,22.054000000000002
4,20180206192922,20180206205302,5020,85635.5,85.89999999999418,33.2,,,365.0,393.1,-40.3,-14.3,19.0,7.0,21.25
4,20180207141542,20180207152802,4340,85719.0,83.5,37.2,,,367.7,387.4,-40.3,-40.4,16.0,4.0,18.605999999999998
4,20180207193141,20180207204331,4310,85794.9,75.89999999999421,,,,366.7,387.8,-38.0,-2.4,21.0,8.0,18.266
4,20180208134309,20180208150629,5000,85886.1,91.20000000001164,36.8,,,367.8,393.5,-39.2,-14.6,14.0,0.0,20.294
4,20180208192551,20180208205611,5420,85984.9,98.79999999998836,29.6,,,368.2,389.5,-40.5,-2.3,22.0,8.0,22.344
4,20180209185310,20180209203150,5920,86097.9,113.0,25.2,,,361.9,390.4,-40.7,-2.3,20.0,9.0,23.818
4,20180209231319,20180210003225,4746,86182.9,85.0,37.2,,,364.3,388.6,-30.0,-3.1,23.0,6.0,19.862000000000002
4,20180210165253,20180210182023,5250,86285.6,102.70000000001164,34.0,,,374.9,391.6,-40.1,-2.4,19.0,6.0,20.951
4,20180210224759,20180210235859,4260,86365.6,80.0,38.0,,,365.8,385.4,-39.0,-40.3,18.0,4.0,18.067
4,20180211173634,20180211190104,5070,86460.2,94.59999999999128,29.6,,,360.1,391.2,-30.1,-40.6,18.0,5.0,21.631
