vehicle_id,charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
1,20171101001754,20171101001844,135930.0,31.2,31.2,374.0,374.6,-16.1,-16.1,0.0,0.0,0.084
1,20171101180757,20171101180937,136063.0,5.6,6.4,325.0,328.0,-59.9,-64.2,0.0,0.0,0.569
1,20171101181147,20171101185227,136063.0,6.4,23.6,322.7,363.9,-2.0,-50.3,0.0,0.0,13.623
1,20171101221133,20171101231154,136105.0,15.2,34.4,333.1,374.6,-2.4,-16.4,0.0,0.0,15.671
1,20171102133608,20171102134938,136199.0,17.2,26.0,342.2,365.1,-88.7,-88.6,0.0,0.0,7.0729999999999995
1,20171102173605,20171102182305,136270.0,12.8,32.8,331.5,370.6,-98.5,-16.4,0.0,0.0,16.442999999999998
1,20171102225418,20171102235959,136376.0,6.4,31.2,326.7,374.5,-109.4,-18.3,0.0,0.0,20.324
1,20171103193641,20171103195341,136494.0,18.0,24.8,357.9,364.2,-105.0,-29.6,26.0,19.0,5.832999999999999
1,20171103231237,20171104001954,136536.0,12.0,31.2,332.8,374.5,-1.0,-16.3,28.0,15.0,15.714
1,20171104181546,20171104192156,136646.0,8.4,31.2,326.2,374.6,-0.6,-16.4,25.0,14.0,18.548
1,20171104213652,20171104234652,136671.0,28.4,36.0,356.5,374.6,-1.9,-7.7,23.0,16.0,6.287000000000001
1,20171110135610,20171110150100,137853.0,9.6,31.2,328.0,374.6,-1.0,-16.4,26.0,15.0,17.715
1,20171110214255,20171110220625,137963.0,4.8,23.2,319.5,362.4,-5.6,-30.1,27.0,14.0,14.54
1,20171110235515,20171111003353,138003.0,14.4,28.4,337.7,370.3,-5.6,-11.3,29.0,16.0,11.436
1,20171111145655,20171111161207,138092.0,8.0,30.8,333.3,374.6,-85.0,-17.4,23.0,12.0,18.598
