vehicle_id,charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
9,20171101014559,20171101031529,53283.1,36.0,100.0,561.8,585.4,-95.0,-1.0,38.0,0.0,77.692
9,20171101135056,20171101142256,53428.6,39.0,80.0,556.4,572.7,-95.0,-189.0,40.0,0.0,51.099
9,20171101181646,20171101183216,53498.5,50.0,72.0,559.2,571.8,-191.0,-191.0,42.0,33.0,28.058000000000003
9,20171102003526,20171102015316,53575.0,43.0,100.0,558.1,585.1,-78.0,-1.0,40.0,0.0,69.449
9,20171102121942,20171102124222,53650.3,69.0,100.0,566.1,592.3,-191.0,-2.0,38.0,30.0,36.934
9,20171102233612,20171103011132,53797.5,32.0,100.0,561.8,587.1,-95.0,-2.0,41.0,0.0,82.37700000000002
9,20171103011232,20171103011242,53797.5,100.0,100.0,581.8,581.1,-4.0,-1.0,41.0,36.0,0.004
9,20171103123109,20171103125219,53872.6,72.0,100.0,566.1,596.3,-191.0,-6.0,38.0,30.0,34.965
9,20171104012427,20171104024627,54019.7,42.0,100.0,562.9,594.7,-95.0,-9.0,39.0,30.0,71.422
9,20171104024647,20171104024657,54019.7,100.0,100.0,589.7,587.8,-2.0,-1.0,39.0,34.0,0.002
9,20171104131215,20171104135725,54166.5,32.0,97.0,559.3,573.7,-191.0,0.0,45.0,0.0,81.043
9,20171104223140,20171105000410,54313.1,32.0,100.0,559.3,590.3,-95.0,-1.0,44.0,0.0,83.15700000000002
9,20171105141246,20171105143056,54460.0,42.0,68.0,551.3,571.0,-1.0,-192.0,39.0,29.0,31.561
9,20171105233519,20171106021559,54537.0,35.0,100.0,558.3,594.1,-39.0,-4.0,38.0,0.0,77.992
9,20171106132917,20171106140937,54684.0,46.0,100.0,562.1,595.2,-191.0,-3.0,40.0,28.0,66.377
9,20171106232245,20171107004825,54830.4,40.0,100.0,562.1,595.4,-95.0,-9.0,40.0,0.0,74.679
9,20171107004905,20171107004915,54830.4,100.0,100.0,586.9,585.7,-3.0,-1.0,40.0,34.0,0.003
9,20171107144527,20171107150437,54977.4,42.0,0.0,558.9,0.0,-192.0,0.0,35.0,0.0,33.994
9,20171107223149,20171108012049,55054.5,40.0,100.0,560.8,588.7,-39.0,-1.0,33.0,0.0,71.145
9,20171108134003,20171108142243,55201.2,44.0,100.0,560.7,593.9,-191.0,-4.0,37.0,24.0,69.866
9,20171109010107,20171109022957,55348.2,37.0,100.0,562.5,592.3,-94.0,-2.0,38.0,0.0,76.985
9,20171109023017,20171109023027,55348.2,100.0,100.0,588.1,586.5,-2.0,-6.0,38.0,31.0,0.006999999999999999
9,20171109144718,20171109150608,55493.9,40.0,67.0,561.0,570.8,-192.0,-191.0,39.0,29.0,34.062
9,20171109230647,20171110013257,55570.8,33.0,100.0,558.1,594.1,-59.0,-4.0,39.0,0.0,80.169
9,20171110123121,20171110125511,55647.3,68.0,99.0,565.0,597.7,-191.0,-38.0,38.0,30.0,39.667
9,20171110224721,20171111001311,55794.8,38.0,100.0,560.7,594.4,-95.0,-9.0,42.0,0.0,74.968
9,20171111001411,20171111001431,55794.8,100.0,100.0,583.2,581.4,-2.0,-2.0,42.0,35.0,0.006
9,20171111002301,20171111002311,55794.8,100.0,100.0,570.5,570.5,-1.0,-1.0,41.0,35.0,0.002
9,20171111135205,20171111143645,55941.6,40.0,100.0,561.2,587.9,-192.0,-2.0,44.0,32.0,74.501
9,20171112013455,20171112025845,56088.4,41.0,100.0,561.3,587.1,-95.0,-1.0,40.0,0.0,72.774
9,20171112150223,20171112152543,56234.1,38.0,70.0,563.4,571.0,-191.0,-190.0,41.0,0.0,39.58
9,20171112224329,20171113001409,56311.2,36.0,100.0,562.3,587.0,-95.0,-1.0,42.0,0.0,78.166
9,20171113141328,20171113145548,56455.2,44.0,100.0,565.4,593.7,-191.0,-5.0,39.0,26.0,69.357
9,20171113145628,20171113145648,56455.2,100.0,100.0,585.2,583.0,-1.0,-1.0,39.0,32.0,0.003
9,20171114001001,20171114012851,56602.9,44.0,100.0,561.4,590.8,-95.0,-3.0,37.0,0.0,68.51899999999999
9,20171114151027,20171114152447,56748.7,43.0,64.0,561.2,570.4,-192.0,-192.0,36.0,26.0,25.924
9,20171115014952,20171115032302,56825.7,34.0,100.0,562.7,588.7,-95.0,-1.0,37.0,26.0,80.65
9,20171115124406,20171115130706,56900.4,71.0,100.0,563.7,586.0,-192.0,-2.0,35.0,26.0,36.625
9,20171115224116,20171116010046,57047.6,42.0,100.0,554.2,591.8,-34.0,-4.0,34.0,24.0,71.465
9,20171116132604,20171116140904,57193.1,42.0,100.0,564.9,591.0,-191.0,-2.0,40.0,28.0,71.368
9,20171116223143,20171116234823,57047.6,45.0,100.0,565.7,594.9,-191.0,-9.0,41.0,0.0,66.94800000000001
9,20171116235513,20171116235523,57047.6,100.0,100.0,574.1,574.2,-1.0,-1.0,41.0,34.0,0.002
9,20171116235753,20171116235803,57047.6,100.0,100.0,573.2,573.1,-1.0,-1.0,41.0,34.0,0.002
9,20171117144149,20171117145449,57486.3,46.0,64.0,560.5,569.5,-191.0,-191.0,38.0,30.0,23.488000000000003
9,20171117233753,20171118024703,57563.5,33.0,100.0,557.6,593.9,-39.0,-4.0,38.0,29.0,80.548
9,20171118024723,20171118024733,57563.5,100.0,100.0,588.4,586.6,-1.0,-1.0,38.0,33.0,0.002
9,20171118134924,20171118143204,57709.2,42.0,0.0,561.2,0.0,-191.0,0.0,41.0,0.0,71.556
9,20171119010525,20171119022635,57856.0,41.0,100.0,561.9,589.2,-95.0,-2.0,37.0,0.0,70.14399999999999
9,20171119145502,20171119151852,58001.9,44.0,0.0,562.8,0.0,-191.0,0.0,34.0,0.0,42.772
9,20171119224533,20171120004153,58079.0,47.0,100.0,559.4,591.3,-59.0,-1.0,32.0,0.0,63.887
9,20171120123526,20171120130056,58154.4,68.0,100.0,565.4,591.4,-190.0,-2.0,30.0,21.0,39.852
9,20171121013245,20171121025725,58302.2,40.0,100.0,566.4,591.7,-95.0,-9.0,30.0,0.0,73.122
9,20171121025745,20171121025755,58302.2,100.0,100.0,587.3,585.4,-2.0,-1.0,30.0,25.0,0.002
9,20171121135622,20171121144242,58449.3,39.0,100.0,561.1,594.0,-191.0,-5.0,36.0,0.0,75.24600000000002
9,20171122014224,20171122030334,58596.1,42.0,100.0,562.9,591.6,-95.0,-1.0,32.0,0.0,70.243
