vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
5,20171103154427,20171103170427,4800,133533.0,143.0,7.6,33.6,26.0,326.9,374.8,-64.8,-16.0,25.0,16.0,20.976999999999997
5,20171103234006,20171104010443,5077,133675.0,142.0,6.4,34.4,28.0,325.3,374.8,-64.8,-16.1,25.0,11.0,22.449
5,20171104152631,20171104164821,4910,133818.0,143.0,5.2,31.6,26.4,320.2,374.1,-7.1,-0.1,24.0,14.0,21.357
5,20171104165411,20171104165621,130,133818.0,0.0,31.6,32.0,0.3999999999999986,373.3,374.9,-7.7,-16.1,24.0,21.0,0.21
5,20171104234929,20171105012146,5537,133972.0,154.0,4.8,34.4,29.6,309.9,374.7,-9.2,-16.1,24.0,11.0,23.853
5,20171105171731,20171105174341,1570,134112.0,140.0,30.0,34.0,4.0,368.0,373.4,-30.0,-16.2,24.0,21.0,3.32
5,20171105223737,20171105232947,3130,134250.0,138.0,8.0,30.0,22.0,326.8,368.0,-59.8,-30.0,25.0,13.0,17.453
5,20171110170637,20171110180257,3380,134648.0,398.0,16.4,33.2,16.800000000000004,341.6,373.0,-59.8,-16.1,21.0,13.0,13.705
5,20171110235335,20171111012742,5647,134798.0,150.0,2.0,34.4,32.4,275.0,374.7,-9.0,-16.1,25.0,12.0,25.612
5,20171111152804,20171111165204,5040,134937.0,139.0,4.0,31.6,27.6,318.6,374.8,-9.1,-16.1,23.0,12.0,22.241999999999997
5,20171111232422,20171112005150,5248,135079.0,142.0,4.8,34.0,29.2,315.1,374.8,-8.1,-16.2,23.0,9.0,23.324
5,20171112154006,20171112165326,4400,135198.0,119.0,10.8,33.2,22.4,334.1,374.8,-64.8,-16.1,21.0,12.0,18.314
5,20171112215613,20171112230803,4310,135308.0,110.0,11.6,33.6,22.0,328.3,374.7,-6.1,-16.1,22.0,10.0,17.758
5,20171113154109,20171113164410,3781,135400.0,92.0,17.6,34.4,16.799999999999994,336.1,374.8,-8.5,-16.1,19.0,12.0,14.037
5,20171117161957,20171117171127,3090,135925.0,525.0,21.6,33.6,12.0,345.9,374.8,-19.1,-16.1,13.0,7.0,9.847000000000001
5,20171117220029,20171117232329,4980,136035.0,110.0,6.4,32.0,25.6,321.2,374.6,-15.6,-16.1,19.0,7.0,20.537
5,20171118143310,20171118155520,4930,136152.0,117.0,7.6,32.8,25.2,321.1,374.7,-7.7,-16.2,18.0,8.0,20.375999999999998
5,20171118215141,20171118222301,1880,136262.0,110.0,10.0,24.0,14.0,329.2,360.3,-64.7,-60.7,16.0,7.0,11.095
5,20171119110200,20171119120820,3980,136348.0,86.0,4.0,31.2,27.2,300.8,371.1,-0.1,-29.9,18.0,4.0,21.651
5,20171119164116,20171119164726,370,136417.0,69.0,19.6,22.4,2.799999999999997,348.8,356.2,-64.7,-64.8,15.0,10.0,2.345
5,20171119184431,20171119192901,2670,136460.0,43.0,13.6,30.8,17.200000000000006,335.8,369.1,-54.3,-29.8,20.0,9.0,13.782
5,20171119235251,20171120011738,5087,136557.0,97.0,6.8,33.2,26.4,319.2,374.7,-3.4,-16.1,20.0,6.0,21.028000000000002
5,20171120153925,20171120164455,3930,136678.0,121.0,14.0,32.8,18.8,342.5,374.8,-65.0,-16.1,20.0,12.0,15.443
5,20171120233427,20171121010004,5137,136805.0,127.0,7.2,35.2,28.000000000000004,317.4,374.7,-5.6,-16.1,22.0,8.0,22.474
5,20171121162820,20171121175440,5180,136933.0,128.0,8.0,32.8,24.8,327.1,374.4,-59.9,-16.1,19.0,10.0,20.199
5,20171121233630,20171122005336,4626,137047.0,114.0,10.0,34.4,24.4,323.6,374.7,-8.0,-16.1,22.0,11.0,19.614
5,20171122172251,20171122183128,4117,137152.0,105.0,11.6,32.8,21.2,327.3,372.4,-7.4,-16.1,18.0,9.0,17.169
5,20171123154547,20171123170547,4800,137372.0,220.0,6.4,31.2,24.8,330.6,374.7,-65.0,-16.0,19.0,10.0,19.863
5,20171123225235,20171124001051,4696,137477.0,105.0,9.2,33.6,24.4,328.8,374.8,-64.8,-16.1,21.0,8.0,19.843
5,20171124152507,20171124162057,3350,137594.0,117.0,12.8,32.0,19.2,337.4,370.7,-64.7,-16.0,18.0,9.0,15.831
5,20171124202810,20171124210003,1913,137689.0,95.0,12.8,27.2,14.4,328.5,365.6,-8.6,-60.8,19.0,9.0,11.395999999999999
5,20171125150439,20171125162530,4851,137874.0,185.0,7.2,31.6,24.4,324.1,374.8,-7.7,-16.0,21.0,11.0,19.627
