vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
1.0,20171101180757.0,20171101180937.0,100.0,136063.0,133.0,5.6,6.4,0.8000000000000007,325.0,328.0,-59.9,-64.2,0.0,0.0,0.569
1.0,20171101181147.0,20171101185227.0,2440.0,136063.0,0.0,6.4,23.6,17.200000000000006,322.7,363.9,-2.0,-50.3,0.0,0.0,13.623
1.0,20171101221133.0,20171101231154.0,3621.0,136105.0,42.0,15.2,34.4,19.2,333.1,374.6,-2.4,-16.4,0.0,0.0,15.671
1.0,20171102133608.0,20171102134938.0,810.0,136199.0,94.0,17.2,26.0,8.8,342.2,365.1,-88.7,-88.6,0.0,0.0,7.073
1.0,20171102173605.0,20171102182305.0,2820.0,136270.0,71.0,12.8,32.8,20.0,331.5,370.6,-98.5,-16.4,0.0,0.0,16.442999999999998
1.0,20171102225418.0,20171102235959.0,3941.0,136376.0,106.0,6.4,31.2,24.8,326.7,374.5,-109.4,-18.3,0.0,0.0,20.324
1.0,20171103193641.0,20171103195341.0,1020.0,136494.0,118.0,18.0,24.8,6.8000000000000025,357.9,364.2,-105.0,-29.6,26.0,19.0,5.8329999999999975
1.0,20171103231237.0,20171104001954.0,4037.0,136536.0,42.0,12.0,31.2,19.2,332.8,374.5,-1.0,-16.3,28.0,15.0,15.714
1.0,20171104181546.0,20171104192156.0,3970.0,136646.0,110.0,8.4,31.2,22.8,326.2,374.6,-0.6,-16.4,25.0,14.0,18.548
1.0,20171104213652.0,20171104234652.0,7800.0,136671.0,25.0,28.4,36.0,7.600000000000001,356.5,374.6,-1.9,-7.7,23.0,16.0,6.287000000000001
1.0,20171110135610.0,20171110150100.0,3890.0,137853.0,1182.0,9.6,31.2,21.6,328.0,374.6,-1.0,-16.4,26.0,15.0,17.715
1.0,20171110214255.0,20171110220625.0,1410.0,137963.0,110.0,4.8,23.2,18.4,319.5,362.4,-5.6,-30.1,27.0,14.0,14.54
1.0,20171110235515.0,20171111003353.0,2318.0,138003.0,40.0,14.4,28.4,13.999999999999998,337.7,370.3,-5.6,-11.3,29.0,16.0,11.436
1.0,20171111145655.0,20171111161207.0,4512.0,138092.0,89.0,8.0,30.8,22.8,333.3,374.6,-85.0,-17.4,23.0,12.0,18.598
1.0,20171111233004.0,20171112005321.0,4997.0,138210.0,118.0,5.2,34.0,28.8,320.8,374.3,-85.1,-16.1,28.0,12.0,23.242
1.0,20171112171806.0,20171112180816.0,3010.0,138301.0,91.0,10.4,28.8,18.4,333.9,370.4,-64.1,-17.4,21.0,12.0,14.845999999999998
1.0,20171112222302.0,20171113024239.0,15577.0,138349.0,48.0,19.2,35.2,16.000000000000004,339.5,374.7,-8.5,-7.9,16.0,11.0,12.882
1.0,20171113105800.0,20171113115920.0,3680.0,138455.0,106.0,14.4,34.0,19.6,341.2,374.3,-88.7,-16.0,24.0,14.0,16.664
1.0,20171114155828.0,20171114170518.0,4010.0,138713.0,258.0,14.8,32.8,17.999999999999996,340.5,373.1,-84.6,-16.0,19.0,10.0,14.824000000000002
