vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
10.0,20171101000223.0,20171101042403.0,15700.0,45631.7,184.018779342723,29.0,100.0,71.0,538.0,572.1,-24.0,-1.0,30.0,9.29577464788732,59.858000000000004
10.0,20171101121635.0,20171101130125.0,2690.0,45726.4,94.70000000000437,46.0,0.0,-46.0,532.5,541.1,-24.0,0.0,34.0,0.0,43.548
10.0,20171102000206.0,20171102040716.0,14710.0,45846.6,120.19999999999708,35.0,100.0,65.0,538.0,572.8,-24.0,-1.0,30.0,0.0,54.817
10.0,20171102141523.0,20171102145133.0,2170.0,45968.6,122.0,34.0,77.0,43.0,531.9,544.0,-24.0,0.0,36.0,25.0,38.576
10.0,20171103000225.0,20171103042135.0,15550.0,46070.6,102.0,28.0,100.0,72.0,537.2,565.8,-24.0,-1.0,31.0,0.0,59.979
10.0,20171103121512.0,20171103124812.0,1980.0,46181.7,111.09999999999854,40.0,0.0,-40.0,531.8,542.8,-24.0,0.0,35.0,0.0,34.903
10.0,20171103162601.0,20171103164031.0,870.0,46256.0,74.30000000000291,41.0,58.0,17.0,532.2,540.0,-24.0,0.0,38.0,30.0,14.975
10.0,20171104000113.0,20171104042733.0,15980.0,46322.6,66.59999999999854,26.0,100.0,74.0,536.3,569.8,-24.0,-1.0,32.0,0.0,62.015
10.0,20171104120714.0,20171104124624.0,2350.0,46433.7,111.09999999999854,42.0,0.0,-42.0,532.6,542.9,-24.0,0.0,35.0,0.0,41.435
10.0,20171104161404.0,20171104162914.0,910.0,46507.8,74.10000000000579,52.0,70.0,18.0,532.7,543.9,-24.0,0.0,37.0,28.0,15.709000000000001
10.0,20171104235952.0,20171105021552.0,8160.0,46577.2,69.39999999999418,36.0,100.0,64.0,537.9,575.1,-24.0,-3.0,33.0,0.0,54.486000000000004
10.0,20171105095139.0,20171105102329.0,1910.0,46654.3,77.10000000000579,60.0,98.0,38.0,536.3,555.6,-49.0,-24.0,30.0,21.0,34.357
10.0,20171105162539.0,20171105163659.0,680.0,46769.8,115.5,40.0,53.0,13.0,532.6,539.4,-24.0,0.0,35.0,27.0,11.366
10.0,20171106000017.0,20171106025227.0,10330.0,46840.9,71.09999999999854,18.0,100.0,82.0,532.9,567.4,-24.0,-1.0,34.0,0.0,69.61
