vehicle_id,charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
12,20180418195636,20180419015843,63160.9,15.0,99.0,339.6,397.8,-17.4,-5.0,35.0,24.0,30.865
12,20180419111728,20180419113858,63316.0,48.0,78.0,367.9,384.7,-90.7,0.0,30.0,25.0,11.168
12,20180419212751,20180420030428,63463.4,21.0,99.0,344.5,397.8,-17.5,-4.9,34.0,29.0,28.86
12,20180420114634,20180420120204,63609.6,52.0,74.0,369.9,381.9,-88.3,0.0,32.0,27.0,8.285
12,20180420223057,20180421055407,63787.4,0.0,99.0,281.1,397.7,-12.4,-5.0,36.0,24.0,39.222
12,20180421121810,20180421123610,63981.6,31.0,58.0,351.2,382.8,-33.7,-95.8,32.0,28.0,9.993
12,20180424202726,20180425034534,65070.2,0.0,99.0,289.1,397.7,-19.1,-4.9,33.0,27.0,39.173
12,20180425113511,20180425114841,65231.1,45.0,66.0,355.8,388.9,-20.1,-96.2,30.0,27.0,7.933
12,20180425201831,20180426021138,65401.1,16.0,99.0,340.2,397.7,-17.6,-5.0,33.0,28.0,30.706
12,20180426142017,20180426142417,65663.6,7.0,14.0,333.8,358.5,-18.7,-123.6,32.0,30.0,2.378
12,20180426142517,20180426145447,65663.6,15.0,49.0,350.6,373.4,-70.0,-71.1,31.0,25.0,12.431
12,20180426190340,20180427004447,65748.0,18.0,99.0,343.2,397.8,-17.1,-5.0,32.0,27.0,29.57
12,20180427133101,20180427140032,65992.4,12.0,45.0,341.1,360.7,-47.5,0.0,35.0,25.0,11.755999999999998
12,20180427201952,20180428023230,66085.9,8.0,98.0,335.1,397.7,-17.8,-5.1,34.0,29.0,32.719
12,20180428122507,20180428125437,66323.5,15.0,66.0,349.1,377.4,-87.9,0.0,35.0,29.0,19.013
12,20180428192434,20180429015113,66492.0,8.0,97.0,334.7,397.8,-17.7,-5.0,35.0,23.0,32.974000000000004
12,20180429205515,20180430025452,66727.4,15.0,99.0,339.6,397.8,-17.1,-5.0,34.0,23.0,30.589
12,20180430200014,20180501020322,67042.0,14.0,98.0,338.6,397.7,-17.1,-5.0,35.0,23.0,31.194000000000006
12,20180501115936,20180501122137,67218.6,40.0,73.0,356.8,388.4,-43.4,-57.9,33.0,28.0,12.07
12,20180501193851,20180502010958,67347.0,22.0,99.0,344.5,397.8,-16.3,-5.0,33.0,28.0,28.521
12,20180502212946,20180503014921,67494.5,43.0,99.0,355.1,397.8,-16.6,-5.0,29.0,25.0,21.142
12,20180503143216,20180503145016,67716.8,51.0,74.0,360.9,382.3,-23.1,0.0,30.0,26.0,8.738
