vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_delta_temp,charge_energy
18,20171101162110,20171101172700,3950,108218.0,0.0,12.0,32.0,20.0,334.9,375.8,-16.7,-16.1,27.0,16.0,11.0,16.217
18,20171102143516,20171102153707,3711,108321.0,103.0,16.8,34.4,17.599999999999994,336.3,375.4,-19.8,-16.2,23.0,14.0,9.0,14.486
18,20171103093741,20171103110531,5270,108479.0,158.0,4.8,34.8,30.0,308.7,375.6,-10.6,-16.1,23.0,12.0,11.0,23.932
18,20171103151638,20171103160828,3110,108559.0,80.0,21.2,34.4,13.2,344.7,375.7,-6.6,-16.1,23.0,16.0,7.0,10.547
18,20171104070433,20171104074643,2530,108662.0,103.0,14.4,30.4,15.999999999999998,329.8,369.8,-1.7,-25.0,15.0,4.0,11.0,13.049
18,20171104155132,20171104170445,4393,108762.0,100.0,9.2,31.2,22.0,329.9,375.8,-21.2,-16.2,21.0,12.0,9.0,17.829
18,20171105151304,20171105160114,2890,108895.0,133.0,20.0,31.2,11.2,358.6,375.6,-64.9,-16.1,22.0,16.0,6.0,9.391
18,20171111124429,20171111141303,5314,109558.0,438.0,5.6,31.2,25.6,321.5,375.7,-17.8,-16.1,18.0,8.0,10.0,20.924
18,20171113085453,20171113101904,5051,109673.0,115.0,9.2,34.4,25.2,321.6,375.7,-14.4,-16.1,17.0,6.0,11.0,20.454
18,20171114085959,20171114102433,5074,109792.0,119.0,8.0,34.4,26.4,325.9,374.8,-65.8,-16.3,18.0,7.0,11.0,20.943
18,20171114161144,20171114173125,4781,109909.0,117.0,10.8,33.6,22.8,326.6,375.6,-14.1,-16.2,22.0,12.0,10.0,18.762
18,20171115102033,20171115113423,4430,110005.0,96.0,13.6,35.6,22.0,327.9,375.4,-8.7,-16.2,16.0,6.0,10.0,17.709
18,20171116070931,20171116082712,4661,110102.0,97.0,11.6,33.6,22.0,325.7,375.5,-1.1,-16.2,13.0,2.0,11.0,17.912
18,20171116151749,20171116155859,2470,110215.0,113.0,9.6,28.8,19.200000000000006,323.4,367.4,-8.7,-22.1,20.0,11.0,9.0,15.207
18,20171116171259,20171116175716,2657,110242.0,27.0,23.6,33.2,9.6,351.9,374.8,-24.7,-16.1,21.0,14.0,7.0,7.925
18,20171117095624,20171117105156,3332,110335.0,93.0,13.6,33.6,20.0,329.9,371.5,-31.6,-16.2,18.0,8.0,10.0,15.97
