vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_delta_temp,charge_energy
1,20171101113839,20171101144639,11280.0,69054.6,90.98178053830203,61.2,90.0,28.8,367.8,377.3,-7.7,-7.8,21.0,16.0,5.0,9.071
1,20180126155012,20180126165122,3670.0,83461.4,73.5,27.327301255230374,72.7639121338915,45.43661087866113,369.3,397.1,-29.6,-1.7,13.0,3.0,10.0,15.191
1,20180127000001,20180127045111,17470.0,83549.6,88.20000000001164,38.962732919254606,86.52753623188403,47.564803312629415,373.9,399.9,-7.7,-7.7,7.0,1.0,6.0,14.085
1,20180127205050,20180128044400,28390.0,83650.9,101.29999999998836,29.2,89.71748526522586,60.51748526522586,358.7,399.1,-7.7,-7.6,8.0,1.0,7.0,22.764
1,20180128161007,20180128171217,3730.0,83724.6,73.70000000001164,27.327301255230374,72.7639121338915,45.43661087866113,368.7,389.6,-29.6,-40.0,13.0,3.0,10.0,15.879
1,20180128214505,20180129053154,28009.0,83819.4,94.79999999998836,31.2,91.71748526522586,60.51748526522586,360.7,399.5,-7.7,-7.7,11.0,12.21807465618857,11.0,22.469
1,20180129142759,20180129153749,4190.0,83894.8,75.40000000000873,27.327301255230374,72.7639121338915,45.43661087866113,370.9,400.2,-29.8,-14.5,14.0,2.0,12.0,17.522000000000002
1,20180129214745,20180130053135,27830.0,84001.5,106.69999999999708,30.4,90.91748526522585,60.51748526522586,358.4,400.2,-7.8,-7.6,12.0,1.0,11.0,22.327
1,20180130152317,20180130154407,1250.0,84107.8,106.30000000000292,40.0,70.20653546230989,30.206535462309883,367.8,380.1,-29.8,-40.5,12.0,8.0,4.0,5.297999999999999
1,20180130154721,20180130164441,3440.0,84107.8,93.17578908280719,43.179279613813456,73.38581507612334,30.206535462309883,377.2,400.9,-40.3,-10.7,20.0,11.0,9.0,14.331
1,20180130214409,20180131050928,26719.0,84219.9,112.09999999999128,33.2,93.71748526522586,60.51748526522586,361.8,399.5,-7.7,-7.6,14.0,3.0,11.0,21.436
1,20180131160155,20180131165709,3314.0,84302.6,82.70000000001164,43.179279613813456,73.38581507612334,30.206535462309883,374.0,397.9,-40.4,-9.7,16.0,8.0,8.0,14.13
1,20180131214738,20180201051107,26609.0,84408.3,105.69999999999708,33.6,94.11748526522587,60.51748526522586,362.5,397.3,-7.7,-7.7,13.0,3.0,10.0,21.345
1,20180201112232,20180201122102,3510.0,84494.6,86.3000000000029,43.179279613813456,73.38581507612334,30.206535462309883,372.3,387.0,-40.1,-41.1,15.0,5.0,10.0,15.254
1,20180201214928,20180202051058,26490.0,84591.5,96.89999999999418,35.2,95.71748526522586,60.51748526522586,361.3,399.1,-7.6,-7.8,11.0,4.0,7.0,21.251
