vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_delta_temp,charge_energy
2,20180418191231,20180419030111,28120,55462.8,,33.0,98.0,65.0,348.7,397.0,-9.2,-5.2,32.0,28.0,4.0,24.567
2,20180423160447,20180423162447,1200,57048.6,192.40000000000146,11.0,42.0,31.0,340.5,,-49.1,,30.0,25.0,5.0,
2,20180503201108,20180504055620,35112,60045.9,241.5999999999985,8.0,93.0,85.0,333.0,,-9.1,,37.0,24.0,13.0,
2,20180508081319,20180508082519,720,61401.6,77.90000000000146,67.0,78.0,11.0,377.3,,-38.6,,31.0,25.0,6.0,
2,20180511140848,20180511142018,690,62512.9,211.5999999999985,15.0,31.0,16.0,343.0,350.2,-47.5,0.0,36.0,34.0,2.0,
2,20180511142548,20180511151249,2821,62513.0,0.0999999999985448,31.0,74.0,43.0,353.0,,-37.9,,34.0,24.0,10.0,
2,20180512133227,20180512141657,2670,62848.9,191.3000000000029,20.0,78.0,58.0,347.6,,-52.8,,35.0,25.0,10.0,
2,20180529151041,20180529160242,3121,68468.1,237.70000000001164,9.0,58.0,49.0,334.3,,-25.0,,34.0,24.0,10.0,
2,20180610130707,20180610134437,2250,72355.1,169.90000000000867,34.0,81.0,47.0,352.2,,-33.6,,35.0,27.0,8.0,
2,20180621164120,20180621170650,1530,75937.8,418.0,1.0,44.0,43.0,336.4,,-66.6,,37.0,35.0,2.0,
2,20180706133914,20180706141614,2220,80363.6,174.90000000000873,23.0,76.0,53.0,348.0,,-33.7,,36.0,29.0,7.0,
2,20180712211821,20180713071233,35652,82401.0,156.1999999999971,6.0,88.0,82.0,326.8,,-9.2,,36.0,24.0,12.0,
