,svr_lr,svr_rbf,dtr,rtr,etr,abr,br,gbr,xgbr,mlpr
MSE,13.150371626303595,12.43844803489367,6.639386018181818,5.836703532363635,15.147432145636369,23.318003566081863,3.028389190181817,6.1755413272659565,5.673751845103205,6.817201986777862
RMSE,3.62634411305706,3.52681840117884,2.576700607013127,2.41592705443762,3.8919702138680825,4.828871873023953,1.7402267640114657,2.485063646522148,2.3819638630976763,2.6109772091647723
MAE,2.8686140648759952,2.764391146749769,1.7986363636363636,1.194374545454546,1.9160745454545458,3.9277050455215643,1.032861818181818,1.7611236967026491,1.6397327748038555,1.8280975731698264
MDAE,2.8686140648759952,2.764391146749769,1.7986363636363636,1.194374545454546,1.9160745454545458,3.9277050455215643,1.032861818181818,1.7611236967026491,1.6397327748038555,1.8280975731698264
RANK,3.837625198743935,3.6890360886011218,1.805509021376731,2.458429045199361,1.9404786920376793,5.254341041376404,1.5755360475433962,2.52542575406247,2.4638016113815273,2.9810669619834136
ACC,0.75498740570437,0.7482315211217954,0.8695957995754009,0.8533977903615866,0.6345558210461202,0.6088440095403168,0.9255089754926159,0.8475449996649046,0.8578400901661154,0.8283499789155371
R2,0.6683869495063883,0.686339533705119,0.8325745375522305,0.8528157896828962,0.6180270547706647,0.4119896749911969,0.9236330800394001,0.8442713136800023,0.8569249439814277,0.8280905505252277
MSE,12.483362881758787,11.266642808254074,4.341221897267078,3.5956184841047873,2.541655865465417,11.439947030454084,5.292866023301357,5.165154169736776,5.187722012912499,13.623990390404185
RMSE,3.5331802786949305,3.3565820127406503,2.0835599096899227,1.8962116137458886,1.594257151611815,3.382299074661211,2.300622964177607,2.2726975535114162,2.277657132430713,3.6910690037446043
MAE,2.7436469964070254,2.475969877508296,1.2817955980053035,1.2081417062677513,1.087962357960268,2.458403432471508,1.4488134918617552,1.6846191619520445,1.6431803475280413,2.7982860803290412
MDAE,2.7436469964070254,2.475969877508296,1.2817955980053035,1.2081417062677513,1.087962357960268,2.458403432471508,1.4488134918617552,1.6846191619520445,1.6431803475280413,2.7982860803290412
RANK,4.45389344352543,4.842296657955089,1.8212846183106877,1.3694617158937548,1.273039450636104,4.250644060517142,1.730056138531067,1.52923824014173,1.6571025444024647,4.611576052245539
ACC,0.8277479860712932,0.8395722897404148,0.9296264417712606,0.9419867959028569,0.9591914545382476,0.8218187006633424,0.9166511234211636,0.915527702043414,0.9150690687857466,0.8084162613060288
R2,0.7951237307124535,0.815092474054135,0.9287521035088123,0.94098890597171,0.9582864828602979,0.8122482146320203,0.9131337721282348,0.9152297720883371,0.9148593898796724,0.776403814386101
MSE,19.87099495044087,5.259281931102221,2.04050695,3.512623482259644,2.682181854307767,35.92709020984144,3.0794463589023287,3.5387928194282465,3.634009506969869,5.152872364913437
RMSE,4.4576894183467815,2.293312436433863,1.4284631426816725,1.8741994243568756,1.6377368086196777,5.993921104739488,1.754835137242906,1.881167940251015,1.906307820623382,2.2699939129683666
MAE,3.7726593994786137,1.84044693568987,0.786375,1.0596250826216118,0.838411415243223,5.588616662237653,0.9926775826216115,1.2213653538278,1.2461268974095585,1.42951132054131
MDAE,3.7726593994786137,1.84044693568987,0.786375,1.0596250826216118,0.838411415243223,5.588616662237653,0.9926775826216115,1.2213653538278,1.2461268974095585,1.42951132054131
RANK,38.5935500591662,7.606943647632127,4.616027050613586,4.465431743105055,4.193597005269483,51.85768253911984,4.743731131681898,3.566185707200988,3.4633519148365277,4.338310682629814
ACC,0.684701978829175,0.8524788533048788,0.9384855936317704,0.8941838890286051,0.9191823811208243,0.8054034423728063,0.906946533513673,0.8941069620927576,0.892055136827446,0.8462363787266569
R2,0.39897352948008413,0.840925546788013,0.9382819686035576,0.8937557128330381,0.9188735995752747,-0.0866658805321947,0.906857770289685,0.8929641840548608,0.8900842200776936,0.8441440552801901
MSE,31.347708473772077,25.99266706986806,4.209718677018633,3.4167459619254656,2.8384228600621126,31.596516423272394,3.2045494671428574,6.1410323483097375,5.85539863319969,10.603255084221727
RMSE,5.598902434743088,5.098300409927612,2.05175989750717,1.8484442003818957,1.6847619594655243,5.62107787023738,1.790125545078573,2.478110640853176,2.419793097188206,3.2562639764339942
MAE,4.2804881705834275,3.976408889591089,1.624726708074534,1.4133397515527952,1.3265596273291933,4.348512466682633,1.3650652173913052,1.7429096950031102,1.574134630475725,2.4795686992797483
MDAE,4.2804881705834275,3.976408889591089,1.624726708074534,1.4133397515527952,1.3265596273291933,4.348512466682633,1.3650652173913052,1.7429096950031102,1.574134630475725,2.4795686992797483
RANK,3.790379638898746,3.136408509181997,0.8891107896485958,0.7222894348510626,0.6440761000498892,2.177218969191026,0.7039904091798814,1.0700222438697493,0.955910479209883,1.2219297780774556
ACC,0.8044827853523949,0.8266117434834193,0.9806367329782321,0.9866119212860487,0.9887445244320834,0.9006322014444157,0.9879567427907233,0.9651187274230715,0.9653557568633804,0.9622983429045127
R2,0.7907287744235177,0.8264779928566747,0.9718967340911382,0.9771904662334765,0.9810512391638933,0.7890677807796389,0.9786070489021377,0.9590036583723225,0.9609104936893937,0.9292147243096989
MSE,391.1075086269738,415.76576517770945,59.161521870967725,46.694263391827945,14.472722161827965,55.68651135349774,31.243711902580653,27.620189728834927,24.916827007012714,33.59514101040615
RMSE,19.776438218925414,20.390335092335032,7.691652739884174,6.833320085568065,3.8043031111923726,7.462339536197596,5.589607490922833,5.255491387951742,4.9916757714231315,5.796131555650385
MAE,15.870975806930424,16.395486602084457,3.6760860215053768,3.5435655913978494,2.4397430107526876,6.70528429031574,3.0271053763440867,3.195398342217922,3.079680306219287,4.846371900646725
MDAE,15.870975806930424,16.395486602084457,3.6760860215053768,3.5435655913978494,2.4397430107526876,6.70528429031574,3.0271053763440867,3.195398342217922,3.079680306219287,4.846371900646725
RANK,4.677510848283097,4.2057035971168375,1.1704643010257283,1.0482940869038937,0.700541381234685,1.5291551555616416,0.9321258905728491,0.7886356571020314,0.7668713763308537,1.2137644325947339
ACC,0.5246720686455354,0.5377672669989408,0.9258927849688943,0.943681655280896,0.9813473071305332,0.9752046628579669,0.9616871841002458,0.9680056168822122,0.9717815609558783,0.9673675994502687
R2,0.459300202539916,0.4252105621504806,0.91821015401785,0.9354459369825355,0.9799916959685372,0.9230142997872931,0.9568060742251332,0.9618155349545233,0.9655528901418013,0.9535552615603331
MSE,23.584713872906608,21.21168734042254,5.86740146031746,9.367551906031744,20.863494622539687,28.90890808270475,5.153981025238097,10.835221617697975,11.218558385764934,13.408063640087835
RMSE,4.8564095660175335,4.605614762485302,2.4222719625007962,3.060645668160845,4.5676574545974535,5.376700482889553,2.2702380987989117,3.2916897815100947,3.349411647702464,3.6617022872002902
MAE,3.7648387866184785,3.5788822345497215,1.1894603174603178,1.8382825396825395,2.1857206349206355,4.118493513500874,1.2586873015873017,2.3415003704155386,2.384357820510864,2.7379487771663635
MDAE,3.7648387866184785,3.5788822345497215,1.1894603174603178,1.8382825396825395,2.1857206349206355,4.118493513500874,1.2586873015873017,2.3415003704155386,2.384357820510864,2.7379487771663635
RANK,6.917834154302139,6.577377275345556,4.112941477103264,4.380520921865113,4.686933602278482,7.486022306575518,4.079173906679178,5.279214934655245,5.475007118148391,5.42591202028603
ACC,0.59063260091349,0.5755264587036004,0.8182747808921227,0.7258606941449224,0.40995941068149067,0.32200311961159367,0.8465796793920322,0.6701640211007529,0.656095776831493,0.6058570144550348
R2,0.25586854994314323,0.330740930594295,0.8148750932379378,0.7044403412785945,0.3417269087771829,0.08788260874956688,0.8373845281929939,0.6581332630315551,0.6460384398075403,0.5769564179273396
MSE,12.266797325955647,12.021573771340387,0.7078078846153844,0.2000856826923075,0.5548612731380163,13.000579327509996,0.4748326430769234,0.8727142147853223,0.8932354668434564,1.400624131348408
RMSE,3.50239879596194,3.4672141225110957,0.8413131905630532,0.44730938140431115,0.7448901080951581,3.605631612839836,0.6890810134352299,0.9341917441217955,0.9451113515578238,1.1834796708640196
MAE,3.1884668756750276,3.2377206424881564,0.4290384615384618,0.28047307692307755,0.4063002542203431,2.842492395876694,0.37441538461538476,0.7568226759718418,0.7513478205754205,1.0337410194705123
MDAE,3.1884668756750276,3.2377206424881564,0.4290384615384618,0.28047307692307755,0.4063002542203431,2.842492395876694,0.37441538461538476,0.7568226759718418,0.7513478205754205,1.0337410194705123
RANK,1.778056941685102,1.658798453642599,0.4420721541321482,0.2823721767120243,0.7578119206659586,2.342716762851985,0.7596837103323286,0.5234805201549809,0.5602817814895886,0.6608377825017373
ACC,0.8379904617550424,0.9139936124622979,0.9711831464069134,0.9924917927122671,0.9790216781507581,0.7651095226194737,0.9803370785039284,0.9683703028766092,0.9684045742291221,0.9809862461316423
R2,0.46104104999398643,0.47181529089813257,0.9689014675826507,0.9912089548241818,0.9756213915316998,0.42880130830898766,0.9791375616682098,0.9616560766141641,0.960754446615056,0.9384616138079208
MSE,5.076412132719398,8.693188332757666,1.1007138431372547,1.7950085354901972,2.289883077352941,9.903186092266278,1.464110485499677,0.9136972391983328,1.0853127728806253,10.268928020187195
RMSE,2.2530894639848187,2.9484213289076693,1.0491491043399193,1.3397792861102895,1.513235962219026,3.1469328070783904,1.2100043328433485,0.9558751169469434,1.041783457768756,3.2045168154009107
MAE,1.8741978060119555,2.653198759080007,0.44931372549019577,0.566882352941177,0.36466176470588224,2.360831544239971,0.6130394412995323,0.7937503333902683,0.915797074149637,3.094011038129348
MDAE,1.8741978060119555,2.653198759080007,0.44931372549019577,0.566882352941177,0.36466176470588224,2.360831544239971,0.6130394412995323,0.7937503333902683,0.915797074149637,3.094011038129348
RANK,3.53686313960623,3.524163770131371,1.4070194162300416,1.022457161542401,0.9235307646710416,3.921080473204013,0.7822245535945737,1.042951399461803,0.9221586611369335,2.754801356350234
ACC,0.7387119372420861,0.6934266700060042,0.9430039848224876,0.9065402149308623,0.8745142099154996,0.4620020796656641,0.9308173974770818,0.9701648917869213,0.9731045352954435,0.8372958523473748
R2,0.7214927459343718,0.5230655139233704,0.9396115244488707,0.9015204271888118,0.8743701198146652,0.4566813936794176,0.9196744905054091,0.9498718184253975,0.9404564735339144,0.43661569030884484
MSE,15.813595787474767,16.014987307223155,3.8603794210526323,5.355189282456141,20.513531951393055,12.488681353993423,4.396542119473683,3.936667708557909,4.378155392047111,10.079523932443243
RMSE,3.976631210896324,4.001872974898523,1.9647848281816083,2.3141281905841216,4.529186676589193,3.5339328451448284,2.09679329440784,1.9841037544841018,2.0924042133505445,3.1748265987992546
MAE,2.8531864285384803,3.042276244235363,1.4235614035087727,1.4543192982456141,2.414279179288734,2.7975410450910276,1.2795210526315794,1.206458042058145,1.370578199085436,2.50011147489862
MDAE,2.8531864285384803,3.042276244235363,1.4235614035087727,1.4543192982456141,2.414279179288734,2.7975410450910276,1.2795210526315794,1.206458042058145,1.370578199085436,2.50011147489862
RANK,1.9905462503794666,1.9981763709048077,0.9411657910756961,1.5794696861632607,2.0479725192325655,1.9567423098109602,1.6210602269013101,1.5059842142493414,1.4712547548703947,1.7294780449412943
ACC,-1.1934773881527572,-1.2783685664086049,0.44974551710276844,0.32208976565060377,-1.2622426073252178,-0.803741556553252,0.4903230349825417,0.4371531296317056,0.3800065630647286,-0.42884710916133617
R2,-1.2839681526634639,-1.3130552637483528,0.44244283378830473,0.22654645173729426,-1.9627830573951868,-0.8037485505905857,0.3650044988076093,0.43142446570649917,0.36766010607355804,-0.45579234255776946
MSE,13.63360211073101,10.835391476291015,5.217902341463412,4.855213516527635,2.4703649419525084,13.46155272266558,3.88181395965446,4.911440916437828,4.9775663365345615,9.781286607884955
RMSE,3.692370798109395,3.291715582533068,2.284272825531883,2.203454904582264,1.5717394637637971,3.66899887199023,1.9702319557997379,2.216177095007939,2.2310460184708343,3.127504853375124
MAE,2.800575093642607,2.548189760594585,1.458097560975609,1.4282686151087278,1.0037369077916547,3.190045143955333,1.2673022778114895,1.8451869038989177,1.7862774935001278,2.8096975058167892
MDAE,2.800575093642607,2.548189760594585,1.458097560975609,1.4282686151087278,1.0037369077916547,3.190045143955333,1.2673022778114895,1.8451869038989177,1.7862774935001278,2.8096975058167892
RANK,3.509230701913514,2.6150984050659822,1.6982725574282715,1.5528955640396909,1.7480539289596697,3.502289344851337,1.4937117522067034,1.5799718841976096,1.618016784854104,1.6134974926115706
ACC,0.8608121591191532,0.8842250283679637,0.9388384174509431,0.9485274974623987,0.9708149512304444,0.8424529801166265,0.9565419657788009,0.9557432267877866,0.9504394906278602,0.9364425501259932
R2,0.836514564773088,0.870068916712692,0.9374302529634313,0.941779385343486,0.9703769638849497,0.8385776709764194,0.9534517701551154,0.9411051423318934,0.9403122085938926,0.8827090679938073
MSE,15.687326455290673,11.543539416869727,5.141511358974357,2.839588069743592,2.0172527594139424,15.602525518223846,2.1836756272310316,5.887744781159207,5.4313770025961325,10.824045643080881
RMSE,3.9607229712882814,3.397578463681115,2.2674901011855284,1.6851077323849628,1.420300235659328,3.9500032301535963,1.4777265062355185,2.426467552051584,2.3305314850042538,3.2899917390596713
MAE,3.4801268507550502,2.857443164127731,1.4617179487179486,1.1661538461538465,1.0833994915593126,3.593528826485193,1.0740126510325914,2.115640857453804,2.063960065939488,2.8034148085451536
MDAE,3.4801268507550502,2.857443164127731,1.4617179487179486,1.1661538461538465,1.0833994915593126,3.593528826485193,1.0740126510325914,2.115640857453804,2.063960065939488,2.8034148085451536
RANK,2.254162122612843,1.26790555493415,0.8170222450134527,0.6226045263344404,0.4813386029527635,3.9067380184578315,1.075137567310136,1.0023072606414678,0.9650065543421839,0.9797282329341428
ACC,0.9320385819086872,0.9326522398370698,0.9497353165517831,0.9809906873911042,0.989359788899066,0.8362405045330524,0.9836138083376768,0.9693380857669888,0.973632782447914,0.9522283807483533
R2,0.834408661548204,0.8781493999019921,0.9457275431843557,0.970026046792568,0.978706404473767,0.8353037981867436,0.9769496879606403,0.9378504972435302,0.9426677968320809,0.8857441890682014
MSE,4.826003928484307,5.409854998744471,3.6432011612903237,1.5859701199640315,0.9931266068237271,11.009197391681928,1.3749492760959534,2.9818124951032052,3.124939101886608,3.3166147007481666
RMSE,2.196816771714088,2.325909499259262,1.908717150677471,1.2593530561220834,0.9965573775873254,3.3180110596081396,1.1725823110110238,1.726792545473603,1.767749728294876,1.8211575167316436
MAE,1.731829439414979,1.7831075045653855,1.305935483870968,0.9007324183530357,0.7621709677419349,2.577557925706694,0.8780159558873254,1.3532710059075415,1.3917147611802616,1.3559729587322038
MDAE,1.731829439414979,1.7831075045653855,1.305935483870968,0.9007324183530357,0.7621709677419349,2.577557925706694,0.8780159558873254,1.3532710059075415,1.3917147611802616,1.3559729587322038
RANK,1.3351608868734142,2.08213948172162,1.5146016759371854,0.9244332375840933,0.5971023981630542,6.301733463676149,0.7955440779307295,1.1740478876790288,1.2097194315860904,0.946636438618449
ACC,0.9520165139311618,0.9459702104282661,0.965872416879502,0.9847651116144351,0.9919974959498338,0.8952401572874658,0.9874274972671012,0.973437685032148,0.9713748591800377,0.9667829464807766
R2,0.9516110970928836,0.945756996439487,0.9634707078822999,0.9840979503361843,0.9900422155339687,0.8896140592577829,0.9862137934388063,0.9701022548984763,0.9686671670739121,0.9667452929767462
MSE,9.656068686848016,8.504719931795018,3.235107517174308,1.7454492958198549,1.1686647833069421,13.61809541089798,1.8205609162728715,5.023969027517625,4.793210728711589,6.502526972387615
RMSE,3.1074215495886643,2.916285296707957,1.798640463565275,1.3211545313928477,1.0810480023139315,3.690270370975273,1.3492816297099992,2.2414212070732322,2.189340249644077,2.5500052886979696
MAE,2.7080281398839414,2.469312902644859,1.4420828674943045,0.9147457337306775,0.8679037745506359,3.0587955814732126,1.0704945945945945,1.952558704191639,1.9121884224350398,2.1307181514054663
MDAE,2.7080281398839414,2.469312902644859,1.4420828674943045,0.9147457337306775,0.8679037745506359,3.0587955814732126,1.0704945945945945,1.952558704191639,1.9121884224350398,2.1307181514054663
RANK,1.5086582497096037,1.3998836695855692,0.6627808776915572,0.4414751834899403,0.4032664842064554,2.406204670827025,0.5560024658095398,0.9215605205146185,0.878344439724217,0.954692991392438
ACC,0.890888423819318,0.8874851483513013,0.9656637806158717,0.9810035377744775,0.9891506932646624,0.7843615637546628,0.9821659882544252,0.9451318344589751,0.9479345249206935,0.9227653190598076
R2,0.8424172900197154,0.8612067852933767,0.947204496346605,0.9715150503700222,0.9809279149119076,0.7777587909516124,0.9702892624136752,0.9180110788470717,0.9217769507826995,0.8938816763571285
MSE,20.83040874839146,12.550005973971755,3.090653037037037,4.287719356400389,4.321477395022817,19.35803209435771,4.487106194086841,5.312361617298735,5.080592888424561,10.419020471861618
RMSE,4.564034262403324,3.5425987599461157,1.7580253232069887,2.0706808919774167,2.0788163447074437,4.3997763686757665,2.1182790642610905,2.304856094704989,2.25401705593027,3.227850751175094
MAE,3.958560771745015,2.861822997948317,1.0682592592592588,1.2052451788587693,1.255406045165106,3.728711460277656,1.2475155492291394,1.6232644238989937,1.5472264629293375,2.4171139208456704
MDAE,3.958560771745015,2.861822997948317,1.0682592592592588,1.2052451788587693,1.255406045165106,3.728711460277656,1.2475155492291394,1.6232644238989937,1.5472264629293375,2.4171139208456704
RANK,6.747803566288954,6.576505728269515,1.8287155476069363,2.223659221531555,1.9466773079744966,7.081085024402593,2.12930070486873,2.959227061347454,2.841340369513759,5.8408585224324865
ACC,0.6471096085449686,0.8107695053899413,0.9470000457688066,0.9268983465411744,0.9267534868933615,0.7916762656408016,0.9232240529848916,0.9121943999300774,0.9167331697576928,0.828787479495541
R2,0.6426068218583384,0.7846760198077745,0.9469727970880484,0.9264343937618704,0.9258551976041364,0.6678688019837808,0.9230134577417898,0.9088543184736697,0.9128308397031243,0.821237937068844
MSE,14.883117495380025,12.582597941852594,30.06091318181819,2.710225137140358,2.2235907901594936,12.347927402087787,2.1865722661363645,3.8715999499018707,3.9674867358111783,10.182681856993465
RMSE,3.8578643697491524,3.5471957856668404,5.482783342593266,1.6462761424318697,1.4911709459882503,3.51396178153488,1.4787062812257086,1.967638165390647,1.9918550991001274,3.1910314722662116
MAE,3.284571469885245,2.9646424680124994,2.3494090909090906,1.115531818181818,1.1656889650384974,2.9771089163659337,1.0601568181818182,1.6343845922114133,1.6859897626963536,2.577744326324807
MDAE,3.284571469885245,2.9646424680124994,2.3494090909090906,1.115531818181818,1.1656889650384974,2.9771089163659337,1.0601568181818182,1.6343845922114133,1.6859897626963536,2.577744326324807
RANK,6.709876499954251,10.46616903275769,2.674940578122713,2.01354382640576,1.631459750197369,15.562443708071617,1.9179823039974537,5.012665522728078,4.509419960601094,11.523963239730167
ACC,0.894895230027837,0.8899637952598874,0.605600846524903,0.9689347264654009,0.9781390285109387,0.8380948239294629,0.976709772430825,0.9608844532230137,0.9621931752792249,0.896229897155916
R2,0.8034362749687585,0.8338196064911314,0.6029806877024819,0.9642056209799469,0.9706326790207369,0.8369189380300769,0.9711215886177621,0.9488671571517384,0.9476007649576663,0.8655156839795164
MSE,4.186137565155027,2.2843631936313273,1.538060249090836,0.7035700986567036,1.0037090307641874,10.694308662660703,0.6902072022895082,2.5128386834184155,2.493517327520281,3.551097075877615
RMSE,2.0460052700701987,1.5114109942802876,1.2401855704251827,0.838790855134165,1.001852798950119,3.2702153847507818,0.8307870980519065,1.5851935791626257,1.5790874983737542,1.8844354793618208
MAE,1.671276118646578,1.2264312714533676,0.7472359421302872,0.604641306073116,0.6659690162585642,2.8492341234037997,0.6129737886168205,1.1306016193809667,1.1317201840082804,1.3234172375914461
MDAE,1.671276118646578,1.2264312714533676,0.7472359421302872,0.604641306073116,0.6659690162585642,2.8492341234037997,0.6129737886168205,1.1306016193809667,1.1317201840082804,1.3234172375914461
RANK,2.3237481152093897,1.1781135769850797,0.9445966146273523,0.6895558100308332,0.6306283104826209,4.34841371109141,0.6363199867633109,0.9427061601774551,0.9465928164164487,1.1568851494714545
ACC,0.7773938102223654,0.8724298796268718,0.9239916073297253,0.9680763013611521,0.9606851228893465,0.8542232951399401,0.9730556670137102,0.9000422965568522,0.8966914013040073,0.8768271708371246
R2,0.7634660708205072,0.8709241171718106,0.9130932922366177,0.9602454058668016,0.9432863260931079,0.39572773028452934,0.9610004642789429,0.8580143155994995,0.8591060513956909,0.7993484611574075
MSE,10.147948535585002,2.616071864836811,1.3503947794117648,1.0721594377117298,0.8824784342757027,26.04219361964618,1.2416907410072628,2.049496953235326,2.3176184341661634,2.1543873506371476
RMSE,3.1855844888473768,1.6174275454674347,1.1620648774538214,1.0354513207832272,0.939403233055807,5.103155261173834,1.1143117790848587,1.4316064239990425,1.5223726331506893,1.4677831415563907
MAE,2.5927012190143337,1.3312715428449422,0.617529411764706,0.5820390677901317,0.575993430953889,4.732396185826783,0.622361078012713,1.0487216243242614,1.0710717648776136,0.8037264829744498
MDAE,2.5927012190143337,1.3312715428449422,0.617529411764706,0.5820390677901317,0.575993430953889,4.732396185826783,0.622361078012713,1.0487216243242614,1.0710717648776136,0.8037264829744498
RANK,10.260655359781854,6.023027780807457,1.8183383775821989,2.265174368251718,1.8143489881682133,20.773500486862492,1.9848593898504132,2.758137984908512,2.9873590476844027,3.160240900609328
ACC,0.8772895954888896,0.945792471287322,0.9653773022146397,0.9726903293032567,0.9796964316918365,0.894179381996204,0.9704166059755313,0.9576021498217586,0.9516083114675109,0.9435386191979915
R2,0.7058258011705327,0.9241638995093391,0.9608540286793984,0.9689196646494307,0.9744182397578179,0.2450748624751823,0.9640051999033199,0.9405880782596342,0.9328156283338963,0.9375474589154993
MSE,5.2259890069872235,3.1061510953982476,1.9408721794871793,0.7653721664475694,0.6254202640698251,9.84049821227758,0.7539913355207603,0.9666091771669133,1.0326696515496152,2.9187128443098587
RMSE,2.2860422146118,1.7624276142293753,1.3931518867256287,0.8748555117546951,0.7908351687107908,3.136956839403051,0.8683267446766569,0.9831628436667617,1.0162035482862748,1.7084240821031114
MAE,1.821855072566919,1.3568018504311377,0.8036410256410256,0.6021898283298582,0.5910399978100873,2.6713706539306594,0.6232872642272941,0.7809558773103847,0.7983539883540228,1.2636565887021924
MDAE,1.821855072566919,1.3568018504311377,0.8036410256410256,0.6021898283298582,0.5910399978100873,2.6713706539306594,0.6232872642272941,0.7809558773103847,0.7983539883540228,1.2636565887021924
