vehicle_id,charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
10,20180418232149,20180419063928,66090.6,6.0,99.0,310.2,397.3,-19.3,-5.0,36.0,24.0,37.543
10,20180419140341,20180419142341,66156.4,78.0,84.0,382.3,389.5,-25.1,-23.4,30.0,24.0,2.802
10,20180419223641,20180420043819,66332.2,28.0,99.0,342.0,397.6,-17.5,-5.0,35.0,24.0,29.971
10,20180420125015,20180420133245,66413.1,73.0,92.0,379.8,397.1,-31.1,-23.1,30.0,23.0,8.266
10,20180421010237,20180421063443,66564.7,36.0,99.0,347.0,397.3,-16.4,-5.0,34.0,24.0,27.145
10,20180421152553,20180421163054,66769.1,28.0,91.0,350.5,397.0,-72.6,-22.8,34.0,24.0,26.282
10,20180421233210,20180422030846,66856.3,68.0,99.0,365.5,397.5,-15.8,-5.2,28.0,26.0,16.267
10,20180422215322,20180423045201,67142.2,10.0,99.0,320.2,397.3,-18.0,-5.1,34.0,26.0,36.395
10,20180423154920,20180423165622,67315.5,30.0,100.0,343.0,392.4,-6.7,-0.2,30.0,24.0,25.666
10,20180423181454,20180423182554,67357.3,78.0,88.0,373.8,391.8,-6.1,-57.5,28.0,25.0,4.364
10,20180423182824,20180423185354,67357.3,88.0,98.0,386.7,396.9,-26.8,-23.2,28.0,27.0,4.332
10,20180423230947,20180424034053,67448.6,52.0,99.0,354.4,397.3,-16.4,-5.1,31.0,26.0,21.692
10,20180424114943,20180424122314,67539.3,67.0,92.0,369.7,396.9,-0.1,-22.9,29.0,25.0,10.629
10,20180424175726,20180424185857,67682.1,45.0,74.0,351.5,374.9,-29.5,0.0,29.0,24.0,11.984000000000002
10,20180424224212,20180425034049,67756.6,44.0,99.0,348.2,397.3,-0.2,-5.0,30.0,26.0,24.467
10,20180426193954,20180426224757,67856.6,68.0,99.0,373.3,397.5,-15.0,-5.0,25.0,24.0,13.470999999999998
