vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_delta_temp,charge_energy
6,20171103203711,20171104035411,26220,82965.6,,34.0,100.0,66.0,363.8,398.2,-7.7,-7.7,18.0,10.0,8.0,21.11
6,20171104152512,20171104163402,4130,83082.5,116.89999999999418,43.2,99.2,56.0,369.3,389.8,-26.8,-40.4,23.0,14.0,9.0,17.705
6,20171104202445,20171105015835,20030,83184.8,102.30000000000291,50.4,100.0,49.6,367.4,397.5,-7.6,-7.8,18.0,12.0,6.0,16.166
6,20171105135203,20171105151323,4880,83339.0,154.1999999999971,23.2,88.8,65.6,361.0,382.0,-23.2,-40.5,27.0,18.0,9.0,20.595
6,20171105204456,20171106045655,29519,83459.4,120.39999999999418,27.2,100.0,72.8,359.0,399.9,-7.7,-7.6,22.0,13.0,9.0,23.765
6,20171106132556,20171106144636,4840,83599.5,140.10000000000582,32.0,97.6,65.6,366.4,386.5,-39.5,-40.4,26.0,16.0,10.0,20.668000000000006
6,20171106212608,20171107055718,30670,83750.7,151.1999999999971,24.4,100.0,75.6,357.6,398.7,-7.8,-7.7,22.0,13.0,9.0,24.67
6,20171107151604,20171107155524,2360,83852.4,101.69999999999709,48.0,80.0,32.0,369.8,381.1,-26.4,-40.6,24.0,18.0,6.0,10.058
6,20171107201145,20171108025114,23969,83934.0,81.60000000000582,40.4,100.0,59.6,365.2,397.1,-7.6,-7.7,21.0,15.0,6.0,19.344
6,20171108142851,20171108153151,3780,84072.1,138.10000000000582,33.2,80.4,47.2,368.7,380.7,-62.8,-37.8,24.0,17.0,7.0,14.944
6,20171108213505,20171109061215,31030,84191.4,119.29999999998836,24.0,100.0,76.0,357.0,397.0,-7.6,-7.6,20.0,12.0,8.0,24.956
6,20171109135208,20171109145028,3500,84311.5,120.10000000000582,42.8,90.0,47.2,369.6,382.4,-26.4,-40.3,24.0,16.0,8.0,14.847999999999999
6,20171109203750,20171110031029,23559,84414.0,102.5,42.0,100.0,58.0,365.4,398.5,-7.7,-7.7,20.0,15.0,5.0,19.015
6,20171110165205,20171110171335,1290,84516.6,102.60000000000582,51.6,68.4,16.800000000000004,370.4,380.9,-26.3,-40.6,16.0,12.0,4.0,5.492999999999999
6,20171110212026,20171111031335,21189,84559.4,42.79999999998836,47.2,100.0,52.8,366.4,398.3,-7.8,-7.7,15.0,10.0,5.0,17.101
6,20171111112342,20171111121322,2980,84643.7,84.30000000000291,61.2,98.4,37.2,366.8,388.6,-5.7,-38.1,16.0,9.0,7.0,11.865
6,20171111181303,20171111185213,2350,84775.1,131.40000000000873,34.8,66.4,31.60000000000001,365.9,379.5,-26.1,-40.2,21.0,13.0,8.0,9.977
6,20171111204722,20171112031841,23479,84824.2,49.09999999999127,42.4,100.0,57.6,365.6,397.6,-7.7,-7.7,18.0,10.0,8.0,18.941
6,20171112115418,20171112124908,3290,84912.6,88.40000000000873,58.4,98.4,40.00000000000001,372.9,389.3,-36.0,-36.3,18.0,10.0,8.0,12.724
6,20171112202639,20171113044649,30010,85073.9,161.29999999998836,25.2,100.0,74.8,358.1,398.2,-7.8,-7.8,17.0,9.0,8.0,24.138
