vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_delta_temp,charge_energy
1,20171101113839,20171101144639,11280,69054.6,,61.2,90.0,28.8,367.8,377.3,-7.7,-7.8,21.0,16.0,5.0,9.071
1,20171101212850,20171102045945,27055,69180.2,125.59999999999128,34.0,100.0,66.0,363.4,400.6,-7.7,-7.7,19.0,15.0,4.0,21.745
1,20171102121246,20171102154916,12990,69284.2,104.0,54.0,87.2,33.2,367.4,377.0,-7.7,-7.8,23.0,17.0,6.0,10.434000000000001
1,20171102204546,20171103025825,22359,69377.0,92.80000000000292,46.0,100.0,54.0,366.6,399.0,-7.7,-7.8,21.0,16.0,5.0,17.99
1,20171103164054,20171103170824,1650,69431.6,54.60000000000582,75.2,97.2,22.0,372.8,385.8,-29.9,-40.1,18.0,15.0,3.0,6.99
1,20171103213445,20171104035405,22760,69546.0,114.39999999999418,43.2,100.0,56.8,365.7,399.5,-7.7,-7.6,16.0,11.0,5.0,18.29
1,20171104140007,20171104143907,2340,69612.0,66.0,69.6,100.0,30.40000000000001,370.8,400.2,-29.9,-14.6,19.0,14.0,5.0,9.907
1,20171104210147,20171105042347,26520,69759.2,147.1999999999971,34.0,100.0,66.0,362.6,399.3,-7.7,-7.8,17.0,13.0,4.0,21.296999999999997
1,20171105211022,20171106044343,27201,69914.8,155.60000000000582,32.0,100.0,68.0,363.1,395.2,-7.7,-7.7,17.0,13.0,4.0,21.855999999999998
1,20171106100653,20171106125343,10010,69959.5,44.69999999999709,75.2,100.0,24.8,369.9,394.7,-7.7,-7.7,16.0,12.0,4.0,8.089
1,20171106213204,20171107020133,16169,70049.0,89.5,60.0,100.0,40.0,367.4,400.6,-7.7,-7.7,16.0,13.0,3.0,13.029000000000002
1,20171107152248,20171107155308,1820,70109.9,60.89999999999418,70.4,95.2,24.8,371.1,384.8,-26.7,-40.5,20.0,16.0,4.0,7.78
1,20171107214835,20171108052214,27219,70251.3,141.4000000000087,33.2,100.0,66.8,361.9,400.3,-7.8,-7.7,21.0,15.0,6.0,21.871
1,20171108212640,20171109044350,26230,70399.4,148.0999999999913,35.2,100.0,64.8,363.0,394.1,-7.8,-7.8,17.0,13.0,4.0,21.078000000000007
1,20171109134620,20171109142010,2030,70455.1,55.70000000001164,74.0,100.0,26.0,371.3,401.6,-24.0,-22.8,19.0,15.0,4.0,8.615
1,20171109215036,20171110052819,27463,70610.5,155.39999999999418,32.0,100.0,68.0,361.4,394.7,-7.6,-7.8,19.0,15.0,4.0,22.055
1,20171110112340,20171110144340,12000,70673.0,62.5,70.4,100.0,29.599999999999994,368.1,397.7,-7.7,-7.8,17.0,14.0,3.0,9.692
1,20171110213249,20171111044348,25859,70808.9,135.89999999999418,35.6,100.0,64.4,362.9,396.6,-7.7,-7.7,16.0,11.0,5.0,20.767
1,20171111154626,20171111161456,1710,70884.0,75.1000000000058,64.0,87.2,23.200000000000006,371.1,383.4,-29.4,-40.2,16.0,12.0,4.0,7.3210000000000015
1,20171111213300,20171112032550,21170,70954.0,70.0,47.2,100.0,52.8,366.0,398.2,-7.6,-7.7,15.0,10.0,5.0,17.012
1,20171112151159,20171112154659,2100,71021.1,67.10000000000582,67.6,95.6,28.0,370.5,385.9,-21.0,-40.2,18.0,13.0,5.0,8.908
1,20171112210924,20171113041745,25701,71132.0,110.89999999999418,36.0,100.0,64.0,364.5,398.1,-7.6,-7.7,17.0,11.0,6.0,20.651
1,20171113112108,20171113153939,15511,71199.7,67.69999999999709,62.0,100.0,38.0,368.3,400.1,-7.7,-7.7,17.0,13.0,4.0,12.503
1,20171113212359,20171114042608,25329,71329.9,130.1999999999971,36.8,100.0,63.2,363.5,396.7,-7.8,-7.6,16.0,10.0,6.0,20.345
1,20171114164716,20171114172246,2130,71437.9,108.0,45.2,74.0,28.8,369.9,381.5,-29.1,-40.3,18.0,11.0,7.0,9.08
1,20171114202653,20171115033812,25879,71493.5,55.60000000000582,35.2,100.0,64.8,363.1,398.0,-7.6,-7.7,16.0,9.0,7.0,20.773000000000003
1,20171116124648,20171116133658,3010,71650.8,88.1999999999971,35.2,75.2,40.0,367.4,383.5,-26.3,-40.3,13.0,4.0,9.0,12.82
1,20171116211519,20171117044049,26730,71791.4,140.5999999999913,34.0,100.0,66.0,361.4,399.7,-7.7,-7.7,17.0,9.0,8.0,21.468000000000004
1,20171117122542,20171117134502,4760,71905.7,114.30000000000292,38.0,100.0,62.0,368.5,399.0,-26.3,-14.7,22.0,11.0,11.0,19.905
1,20171117195240,20171118030149,25749,72009.4,103.69999999999708,35.2,100.0,64.8,362.2,399.7,-7.7,-7.7,15.0,7.0,8.0,20.658
1,20171118151351,20171118162121,4050,72113.3,103.90000000000872,39.2,93.2,54.0,368.8,385.2,-26.7,-39.9,18.0,9.0,9.0,17.078
1,20171118210257,20171119035159,24542,72186.0,72.69999999999709,39.6,100.0,60.4,363.6,397.9,-7.8,-7.7,14.0,6.0,8.0,19.704
1,20171119145127,20171119160207,4240,72307.5,121.5,34.0,90.8,56.8,365.9,383.8,-26.1,-40.2,21.0,11.0,10.0,17.97
1,20171119213638,20171120051948,27790,72392.6,85.1000000000058,32.0,100.0,68.0,360.1,400.1,-7.7,-7.6,15.0,6.0,9.0,22.294
1,20171120103917,20171120144827,14950,72450.8,58.19999999999709,63.2,100.0,36.8,367.4,395.9,-7.7,-7.7,13.0,7.0,6.0,12.038
1,20171120213649,20171121045408,26239,72565.4,114.59999999999128,34.0,100.0,66.0,362.3,399.5,-7.6,-7.7,13.0,8.0,5.0,21.061
1,20171121145535,20171121153615,2440,72628.9,63.5,67.6,100.0,32.40000000000001,371.5,391.2,-26.5,-3.7,16.0,10.0,6.0,10.467
1,20171121213449,20171122050022,26733,72742.0,113.10000000000582,33.2,100.0,66.8,361.9,400.5,-7.7,-7.6,14.0,9.0,5.0,21.465
1,20171122111311,20171122152941,15390,72812.3,70.30000000000291,62.0,100.0,38.0,367.4,398.6,-7.6,-7.6,14.0,9.0,5.0,12.383
1,20171122213807,20171123045241,26074,72919.7,107.39999999999418,34.8,100.0,65.2,362.6,397.9,-7.6,-7.6,14.0,7.0,7.0,20.928
1,20171123164613,20171123171813,1920,72986.9,67.19999999999709,64.0,89.6,25.599999999999994,370.7,384.3,-26.5,-40.0,14.0,10.0,4.0,8.132
1,20171123214336,20171124053316,28180,73080.4,93.5,30.0,100.0,70.0,360.0,398.4,-7.7,-7.7,14.0,6.0,8.0,22.599
1,20171124113213,20171124155123,15550,73140.5,60.10000000000582,61.6,100.0,38.4,367.6,394.6,-7.7,-7.7,12.0,6.0,6.0,12.53
1,20171124213548,20171125044717,25889,73256.0,115.5,35.2,100.0,64.8,362.9,399.7,-7.6,-7.7,13.0,8.0,5.0,20.788
1,20171125162141,20171125170831,2810,73332.2,76.19999999999709,63.2,100.0,36.8,369.6,398.9,-30.3,-9.9,17.0,11.0,6.0,12.02
1,20171125212544,20171126043513,25769,73456.2,124.0,35.6,100.0,64.4,362.9,399.3,-7.7,-7.6,15.0,8.0,7.0,20.679000000000002
1,20171126162733,20171126170533,2280,73530.5,74.30000000000291,62.4,93.2,30.800000000000004,370.7,385.6,-26.2,-40.2,15.0,9.0,6.0,9.717
1,20171126213717,20171127050307,26750,73627.1,96.60000000000582,33.2,100.0,66.8,361.8,399.9,-7.6,-7.7,13.0,6.0,7.0,21.465
1,20171127110600,20171127145300,13620,73685.0,57.89999999999418,66.4,100.0,33.599999999999994,368.1,397.2,-7.7,-7.7,12.0,7.0,5.0,10.979000000000001
1,20171127213029,20171128045908,26919,73819.7,134.6999999999971,32.0,100.0,68.0,361.9,398.2,-7.7,-7.6,13.0,7.0,6.0,21.603
1,20171128154144,20171128163744,3360,73920.9,101.19999999999708,45.2,91.2,46.0,372.4,384.5,-40.8,-40.8,17.0,9.0,8.0,14.55
1,20171128210843,20171129045443,27960,74006.0,85.1000000000058,30.8,100.0,69.2,360.3,398.2,-7.6,-7.8,14.0,6.0,8.0,22.429000000000002
1,20171129213331,20171130035330,22799,74093.1,87.10000000000582,43.2,100.0,56.8,364.2,400.6,-7.7,-7.6,9.0,4.0,5.0,18.298
1,20171130104827,20171130143807,13780,74142.0,48.89999999999418,66.0,100.0,34.0,367.2,397.8,-7.6,-7.7,8.0,4.0,4.0,11.099
1,20171201181921,20171201190051,2490,74372.5,230.5,41.6,75.6,33.99999999999999,372.6,382.1,-41.0,-41.1,15.0,8.0,7.0,10.754000000000001
1,20171201214430,20171202045339,25749,74430.7,58.19999999999709,36.0,100.0,64.0,362.4,397.1,-7.7,-7.7,14.0,6.0,8.0,20.666
1,20171202171644,20171202174814,1890,74519.0,88.3000000000029,56.0,81.2,25.200000000000006,370.5,383.2,-26.2,-40.4,14.0,8.0,6.0,8.068
1,20171202214013,20171203052422,27849,74593.1,74.1000000000058,30.8,100.0,69.2,360.5,397.8,-7.7,-7.6,13.0,5.0,8.0,22.33
1,20171203163426,20171203170956,2130,74674.5,81.3999999999942,56.8,85.2,28.40000000000001,370.4,383.5,-26.6,-40.0,15.0,9.0,6.0,9.033
1,20171203213119,20171204044708,26149,74748.1,73.6000000000058,34.8,100.0,65.2,362.6,397.5,-7.7,-7.6,13.0,5.0,8.0,20.975
1,20171204200356,20171205011651,18775,74823.2,75.09999999999127,53.2,100.0,46.8,369.4,400.4,-7.7,-7.6,7.0,2.0,5.0,15.125
1,20171205155136,20171205162616,2080,74879.6,56.400000000008724,73.2,100.0,26.8,376.5,398.7,-40.7,-3.0,13.0,7.0,6.0,8.802
1,20171205214003,20171206045632,26189,74983.4,103.79999999998836,34.0,100.0,66.0,363.0,399.7,-7.5,-7.7,12.0,6.0,6.0,21.024
1,20171206152905,20171206162155,3170,75052.1,68.70000000001164,58.8,100.0,41.2,373.9,400.4,-37.8,-14.5,16.0,9.0,7.0,13.347000000000001
1,20171206213757,20171207041117,23600,75142.9,90.79999999998836,40.8,100.0,59.2,364.4,400.8,-7.7,-7.6,13.0,8.0,5.0,18.954
