vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_delta_temp,charge_energy
20,20171101014559,20171101031529,5370,53283.1,,36.0,100.0,64.0,561.8,585.4,-95.0,-1.0,38.0,0.0,38.0,77.692
20,20171101135056,20171101142256,1920,53428.6,145.5,39.0,80.0,41.0,556.4,572.7,-95.0,-189.0,40.0,0.0,40.0,51.099
20,20171101181646,20171101183216,930,53498.5,69.90000000000146,50.0,72.0,22.0,559.2,571.8,-191.0,-191.0,42.0,33.0,9.0,28.058000000000003
20,20171102003526,20171102015316,4670,53575.0,76.5,43.0,100.0,57.0,558.1,585.1,-78.0,-1.0,40.0,0.0,40.0,69.449
20,20171102121942,20171102124222,1360,53650.3,75.30000000000291,69.0,100.0,31.0,566.1,592.3,-191.0,-2.0,38.0,30.0,8.0,36.934
20,20171102233612,20171103011132,5720,53797.5,147.1999999999971,32.0,100.0,68.0,561.8,587.1,-95.0,-2.0,41.0,0.0,41.0,82.37700000000002
20,20171103123109,20171103125219,1270,53872.6,75.09999999999854,72.0,100.0,28.0,566.1,596.3,-191.0,-6.0,38.0,30.0,8.0,34.965
20,20171104012427,20171104024627,4920,54019.7,147.09999999999854,42.0,100.0,58.0,562.9,594.7,-95.0,-9.0,39.0,30.0,9.0,71.422
20,20171104131215,20171104135725,2710,54166.5,146.8000000000029,32.0,97.0,65.0,559.3,573.7,-191.0,0.0,45.0,0.0,45.0,81.043
20,20171104223140,20171105000410,5550,54313.1,146.59999999999854,32.0,100.0,68.0,559.3,590.3,-95.0,-1.0,44.0,0.0,44.0,83.15700000000002
20,20171105141246,20171105143056,1090,54460.0,146.90000000000146,42.0,68.0,26.0,551.3,571.0,-1.0,-192.0,39.0,29.0,10.0,31.561
20,20171105233519,20171106021559,9640,54537.0,77.0,35.0,100.0,65.0,558.3,594.1,-39.0,-4.0,38.0,0.0,38.0,77.992
20,20171106132917,20171106140937,2420,54684.0,147.0,46.0,100.0,54.0,562.1,595.2,-191.0,-3.0,40.0,28.0,12.0,66.377
20,20171106232245,20171107004825,5140,54830.4,146.40000000000146,40.0,100.0,60.0,562.1,595.4,-95.0,-9.0,40.0,0.0,40.0,74.679
20,20171107223149,20171108012049,10140,55054.5,77.09999999999854,40.0,100.0,60.0,560.8,588.7,-39.0,-1.0,33.0,0.0,33.0,71.145
20,20171108134003,20171108142243,2560,55201.2,146.6999999999971,44.0,100.0,56.0,560.7,593.9,-191.0,-4.0,37.0,24.0,13.0,69.866
20,20171109010107,20171109022957,5330,55348.2,147.0,37.0,100.0,63.0,562.5,592.3,-94.0,-2.0,38.0,0.0,38.0,76.985
20,20171109144718,20171109150608,1130,55493.9,145.70000000000437,40.0,67.0,27.0,561.0,570.8,-192.0,-191.0,39.0,29.0,10.0,34.062
20,20171109230647,20171110013257,8770,55570.8,76.90000000000146,33.0,100.0,67.0,558.1,594.1,-59.0,-4.0,39.0,0.0,39.0,80.169
20,20171110123121,20171110125511,1430,55647.3,76.5,68.0,99.0,31.0,565.0,597.7,-191.0,-38.0,38.0,30.0,8.0,39.667
20,20171110224721,20171111001311,5150,55794.8,147.5,38.0,100.0,62.0,560.7,594.4,-95.0,-9.0,42.0,0.0,42.0,74.968
20,20171111135205,20171111143645,2680,55941.6,146.79999999999563,40.0,100.0,60.0,561.2,587.9,-192.0,-2.0,44.0,32.0,12.0,74.501
20,20171112013455,20171112025845,5030,56088.4,146.8000000000029,41.0,100.0,59.0,561.3,587.1,-95.0,-1.0,40.0,0.0,40.0,72.774
20,20171112150223,20171112152543,1400,56234.1,145.6999999999971,38.0,70.0,32.0,563.4,571.0,-191.0,-190.0,41.0,0.0,41.0,39.58
20,20171112224329,20171113001409,5440,56311.2,77.09999999999854,36.0,100.0,64.0,562.3,587.0,-95.0,-1.0,42.0,0.0,42.0,78.166
20,20171113141328,20171113145548,2540,56455.2,144.0,44.0,100.0,56.0,565.4,593.7,-191.0,-5.0,39.0,26.0,13.0,69.357
20,20171114001001,20171114012851,4730,56602.9,147.70000000000437,44.0,100.0,56.0,561.4,590.8,-95.0,-3.0,37.0,0.0,37.0,68.51899999999999
20,20171114151027,20171114152447,860,56748.7,145.79999999999563,43.0,64.0,21.0,561.2,570.4,-192.0,-192.0,36.0,26.0,10.0,25.924
20,20171115014952,20171115032302,5590,56825.7,77.0,34.0,100.0,66.0,562.7,588.7,-95.0,-1.0,37.0,26.0,11.0,80.65
20,20171115124406,20171115130706,1380,56900.4,74.70000000000438,71.0,100.0,29.0,563.7,586.0,-192.0,-2.0,35.0,26.0,9.0,36.625
20,20171115224116,20171116010046,8370,57047.6,147.1999999999971,42.0,100.0,58.0,554.2,591.8,-34.0,-4.0,34.0,24.0,10.0,71.465
20,20171116132604,20171116140904,2580,57193.1,145.5,42.0,100.0,58.0,564.9,591.0,-191.0,-2.0,40.0,28.0,12.0,71.368
20,20171117144149,20171117145449,780,57486.3,438.70000000000437,46.0,64.0,18.0,560.5,569.5,-191.0,-191.0,38.0,30.0,8.0,23.488000000000003
20,20171117233753,20171118024703,11350,57563.5,77.19999999999709,33.0,100.0,67.0,557.6,593.9,-39.0,-4.0,38.0,29.0,9.0,80.548
20,20171119010525,20171119022635,4870,57856.0,146.8000000000029,41.0,100.0,59.0,561.9,589.2,-95.0,-2.0,37.0,0.0,37.0,70.14399999999999
20,20171119224533,20171120004153,6980,58079.0,77.09999999999854,47.0,100.0,53.0,559.4,591.3,-59.0,-1.0,32.0,0.0,32.0,63.887
20,20171120123526,20171120130056,1530,58154.4,75.40000000000146,68.0,100.0,32.0,565.4,591.4,-190.0,-2.0,30.0,21.0,9.0,39.852
20,20171121013245,20171121025725,5080,58302.2,147.79999999999563,40.0,100.0,60.0,566.4,591.7,-95.0,-9.0,30.0,0.0,30.0,73.122
20,20171121135622,20171121144242,2780,58449.3,147.10000000000582,39.0,100.0,61.0,561.1,594.0,-191.0,-5.0,36.0,0.0,36.0,75.24600000000002
20,20171122014224,20171122030334,4870,58596.1,146.79999999999563,42.0,100.0,58.0,562.9,591.6,-95.0,-1.0,32.0,0.0,32.0,70.243
20,20171122112316,20171122114936,1580,58671.5,75.40000000000146,68.0,100.0,32.0,569.4,596.8,-191.0,-6.0,31.0,22.0,9.0,40.288
20,20171123003905,20171123020625,5240,58819.1,147.59999999999854,36.0,100.0,64.0,569.1,593.8,-191.0,-8.0,32.0,21.0,11.0,78.158
20,20171123141526,20171123145946,2660,58963.9,144.8000000000029,40.0,99.0,59.0,565.0,591.6,-191.0,0.0,36.0,23.0,13.0,73.842
