vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_delta_temp,charge_energy
6,20171103203711,20171104035411,26220,82965.6,,34.0,100.0,66.0,363.8,398.2,-7.7,-7.7,18.0,10.0,8.0,21.11
6,20180127144522,20180127160502,4780,100362.6,282.1000000000058,33.2,,,367.2,390.1,-39.1,-40.2,16.0,3.0,13.0,20.373
6,20180127203224,20180128034708,26084,100460.7,98.09999999999128,35.6,,,361.5,398.3,-7.6,-7.6,12.0,1.0,11.0,21.009
6,20180128142622,20180128153422,4080,100566.8,106.10000000000582,,,,371.6,390.0,-39.1,-40.3,13.0,0.0,13.0,17.5
6,20180128200527,20180129022827,22980,100655.6,88.8000000000029,,,,364.5,398.3,-7.7,-7.7,9.0,0.0,9.0,18.531
6,20180129143634,20180129154754,4280,100764.9,109.29999999998836,40.0,,,370.2,389.9,-39.4,-40.9,15.0,4.0,11.0,18.384
6,20180129193641,20180130003010,17609,100835.2,70.30000000000291,,,,367.5,396.9,-7.7,-7.7,12.0,4.0,8.0,14.218
6,20180130130425,20180130142255,4710,100961.1,125.90000000000872,34.8,,,368.3,390.1,-38.9,-16.3,18.0,8.0,10.0,20.089000000000002
6,20180130193844,20180131005414,18930,101055.6,94.5,,,,367.8,397.4,-7.6,-7.7,12.0,4.0,8.0,15.285
6,20180131121930,20180131132840,4150,101159.1,103.5,,,,369.8,390.0,-39.2,-40.5,16.0,5.0,11.0,17.878
6,20180131191832,20180201020500,24388,101286.9,127.79999999998836,39.6,,,363.7,397.7,-7.7,-7.7,12.0,3.0,9.0,19.653
6,20180201124225,20180201153716,10491,101405.5,118.60000000000582,38.4,,,363.0,374.0,-7.7,-7.8,11.0,7.0,4.0,8.373
6,20180201154013,20180201160403,1430,101405.6,0.10000000000582077,,,,371.3,385.7,-6.0,-46.0,14.0,8.0,6.0,7.032
6,20180201192143,20180202011002,20899,101483.4,77.79999999998836,,,,365.7,398.7,-7.7,-7.6,13.0,4.0,9.0,16.844
6,20180202120034,20180202130644,3970,101589.5,106.10000000000582,,,,371.2,390.1,-39.3,-40.3,14.0,3.0,11.0,17.134
6,20180202203000,20180203043420,29060,101709.9,120.39999999999418,27.6,,,359.0,397.8,-7.7,-7.6,10.0,0.0,10.0,23.38
