vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_delta_temp,charge_energy
1.0,20171101113839.0,20171101144639.0,11280.0,69054.6,90.98178053830203,61.2,90.0,28.8,367.8,377.3,-7.7,-7.8,21.0,16.0,5.0,9.071
1.0,20171101212850.0,20171102045945.0,27055.0,69180.2,125.59999999999128,34.0,100.0,66.0,363.4,400.6,-7.7,-7.7,19.0,15.0,4.0,21.745
1.0,20171102121246.0,20171102154916.0,12990.0,69284.2,104.0,54.0,87.2,33.2,367.4,377.0,-7.7,-7.8,23.0,17.0,6.0,10.434
1.0,20171102204546.0,20171103025825.0,22359.0,69377.0,92.80000000000292,46.0,100.0,54.0,366.6,399.0,-7.7,-7.8,21.0,16.0,5.0,17.99
1.0,20171103164054.0,20171103170824.0,1650.0,69431.6,54.60000000000582,75.2,97.2,22.0,372.8,385.8,-29.9,-40.1,18.0,15.0,3.0,6.99
1.0,20171103213445.0,20171104035405.0,22760.0,69546.0,114.39999999999418,43.2,100.0,56.8,365.7,399.5,-7.7,-7.6,16.0,11.0,5.0,18.29
1.0,20171104140007.0,20171104143907.0,2340.0,69612.0,66.0,69.6,100.0,30.40000000000001,370.8,400.2,-29.9,-14.6,19.0,14.0,5.0,9.907
1.0,20171104210147.0,20171105042347.0,26520.0,69759.2,147.1999999999971,34.0,100.0,66.0,362.6,399.3,-7.7,-7.8,17.0,13.0,4.0,21.297
1.0,20171105211022.0,20171106044343.0,27201.0,69914.8,155.60000000000582,32.0,100.0,68.0,363.1,395.2,-7.7,-7.7,17.0,13.0,4.0,21.856
1.0,20171106100653.0,20171106125343.0,10010.0,69959.5,44.69999999999709,75.2,100.0,24.8,369.9,394.7,-7.7,-7.7,16.0,12.0,4.0,8.089
1.0,20171106213204.0,20171107020133.0,16169.0,70049.0,89.5,60.0,100.0,40.0,367.4,400.6,-7.7,-7.7,16.0,13.0,3.0,13.029000000000002
1.0,20171107152248.0,20171107155308.0,1820.0,70109.9,60.89999999999418,70.4,95.2,24.8,371.1,384.8,-26.7,-40.5,20.0,16.0,4.0,7.78
1.0,20171107214835.0,20171108052214.0,27219.0,70251.3,141.40000000000867,33.2,100.0,66.8,361.9,400.3,-7.8,-7.7,21.0,15.0,6.0,21.871
1.0,20171108212640.0,20171109044350.0,26230.0,70399.4,148.09999999999133,35.2,100.0,64.8,363.0,394.1,-7.8,-7.8,17.0,13.0,4.0,21.078000000000007
1.0,20171109134620.0,20171109142010.0,2030.0,70455.1,55.70000000001164,74.0,100.0,26.0,371.3,401.6,-24.0,-22.8,19.0,15.0,4.0,8.615
1.0,20171109215036.0,20171110052819.0,27463.0,70610.5,155.39999999999418,32.0,100.0,68.0,361.4,394.7,-7.6,-7.8,19.0,15.0,4.0,22.055
1.0,20171110112340.0,20171110144340.0,12000.0,70673.0,62.5,70.4,100.0,29.599999999999994,368.1,397.7,-7.7,-7.8,17.0,14.0,3.0,9.692
1.0,20171110213249.0,20171111044348.0,25859.0,70808.9,135.89999999999418,35.6,100.0,64.4,362.9,396.6,-7.7,-7.7,16.0,11.0,5.0,20.767
1.0,20171111154626.0,20171111161456.0,1710.0,70884.0,75.10000000000579,64.0,87.2,23.20000000000001,371.1,383.4,-29.4,-40.2,16.0,12.0,4.0,7.3210000000000015
1.0,20171111213300.0,20171112032550.0,21170.0,70954.0,70.0,47.2,100.0,52.8,366.0,398.2,-7.6,-7.7,15.0,10.0,5.0,17.012
1.0,20171112151159.0,20171112154659.0,2100.0,71021.1,67.10000000000582,67.6,95.6,28.0,370.5,385.9,-21.0,-40.2,18.0,13.0,5.0,8.908
1.0,20171112210924.0,20171113041745.0,25701.0,71132.0,110.89999999999418,36.0,100.0,64.0,364.5,398.1,-7.6,-7.7,17.0,11.0,6.0,20.651
1.0,20171113112108.0,20171113153939.0,15511.0,71199.7,67.69999999999709,62.0,100.0,38.0,368.3,400.1,-7.7,-7.7,17.0,13.0,4.0,12.503
1.0,20171113212359.0,20171114042608.0,25329.0,71329.9,130.1999999999971,36.8,100.0,63.2,363.5,396.7,-7.8,-7.6,16.0,10.0,6.0,20.345
1.0,20171114164716.0,20171114172246.0,2130.0,71437.9,108.0,45.2,74.0,28.8,369.9,381.5,-29.1,-40.3,18.0,11.0,7.0,9.08
1.0,20171114202653.0,20171115033812.0,25879.0,71493.5,55.60000000000582,35.2,100.0,64.8,363.1,398.0,-7.6,-7.7,16.0,9.0,7.0,20.773000000000003
1.0,20171116124648.0,20171116133658.0,3010.0,71650.8,88.1999999999971,35.2,75.2,40.0,367.4,383.5,-26.3,-40.3,13.0,4.0,9.0,12.82
1.0,20171116211519.0,20171117044049.0,26730.0,71791.4,140.5999999999913,34.0,100.0,66.0,361.4,399.7,-7.7,-7.7,17.0,9.0,8.0,21.468000000000004
1.0,20171117122542.0,20171117134502.0,4760.0,71905.7,114.30000000000292,38.0,100.0,62.0,368.5,399.0,-26.3,-14.7,22.0,11.0,11.0,19.905
1.0,20171117195240.0,20171118030149.0,25749.0,72009.4,103.69999999999708,35.2,100.0,64.8,362.2,399.7,-7.7,-7.7,15.0,7.0,8.0,20.658
1.0,20171118151351.0,20171118162121.0,4050.0,72113.3,103.90000000000872,39.2,93.2,54.0,368.8,385.2,-26.7,-39.9,18.0,9.0,9.0,17.078
1.0,20171118210257.0,20171119035159.0,24542.0,72186.0,72.69999999999709,39.6,100.0,60.4,363.6,397.9,-7.8,-7.7,14.0,6.0,8.0,19.704
1.0,20171119145127.0,20171119160207.0,4240.0,72307.5,121.5,34.0,90.8,56.8,365.9,383.8,-26.1,-40.2,21.0,11.0,10.0,17.97
1.0,20171119213638.0,20171120051948.0,27790.0,72392.6,85.10000000000579,32.0,100.0,68.0,360.1,400.1,-7.7,-7.6,15.0,6.0,9.0,22.294
1.0,20171120103917.0,20171120144827.0,14950.0,72450.8,58.19999999999709,63.2,100.0,36.8,367.4,395.9,-7.7,-7.7,13.0,7.0,6.0,12.038
1.0,20171120213649.0,20171121045408.0,26239.0,72565.4,114.59999999999128,34.0,100.0,66.0,362.3,399.5,-7.6,-7.7,13.0,8.0,5.0,21.061
1.0,20171121145535.0,20171121153615.0,2440.0,72628.9,63.5,67.6,100.0,32.40000000000001,371.5,391.2,-26.5,-3.7,16.0,10.0,6.0,10.467
1.0,20171121213449.0,20171122050022.0,26733.0,72742.0,113.10000000000582,33.2,100.0,66.8,361.9,400.5,-7.7,-7.6,14.0,9.0,5.0,21.465
1.0,20171122111311.0,20171122152941.0,15390.0,72812.3,70.30000000000291,62.0,100.0,38.0,367.4,398.6,-7.6,-7.6,14.0,9.0,5.0,12.383
1.0,20171122213807.0,20171123045241.0,26074.0,72919.7,107.39999999999418,34.8,100.0,65.2,362.6,397.9,-7.6,-7.6,14.0,7.0,7.0,20.928
1.0,20171123164613.0,20171123171813.0,1920.0,72986.9,67.19999999999709,64.0,89.6,25.599999999999994,370.7,384.3,-26.5,-40.0,14.0,10.0,4.0,8.132
1.0,20171123214336.0,20171124053316.0,28180.0,73080.4,93.5,30.0,100.0,70.0,360.0,398.4,-7.7,-7.7,14.0,6.0,8.0,22.599
1.0,20171124113213.0,20171124155123.0,15550.0,73140.5,60.10000000000582,61.6,100.0,38.4,367.6,394.6,-7.7,-7.7,12.0,6.0,6.0,12.53
1.0,20171124213548.0,20171125044717.0,25889.0,73256.0,115.5,35.2,100.0,64.8,362.9,399.7,-7.6,-7.7,13.0,8.0,5.0,20.788
1.0,20171125162141.0,20171125170831.0,2810.0,73332.2,76.19999999999709,63.2,100.0,36.8,369.6,398.9,-30.3,-9.9,17.0,11.0,6.0,12.02
1.0,20171125212544.0,20171126043513.0,25769.0,73456.2,124.0,35.6,100.0,64.4,362.9,399.3,-7.7,-7.6,15.0,8.0,7.0,20.679
1.0,20171126162733.0,20171126170533.0,2280.0,73530.5,74.30000000000291,62.4,93.2,30.800000000000004,370.7,385.6,-26.2,-40.2,15.0,9.0,6.0,9.717
1.0,20171126213717.0,20171127050307.0,26750.0,73627.1,96.60000000000582,33.2,100.0,66.8,361.8,399.9,-7.6,-7.7,13.0,6.0,7.0,21.465
1.0,20171127110600.0,20171127145300.0,13620.0,73685.0,57.89999999999418,66.4,100.0,33.599999999999994,368.1,397.2,-7.7,-7.7,12.0,7.0,5.0,10.979
1.0,20171127213029.0,20171128045908.0,26919.0,73819.7,134.6999999999971,32.0,100.0,68.0,361.9,398.2,-7.7,-7.6,13.0,7.0,6.0,21.603
1.0,20171128154144.0,20171128163744.0,3360.0,73920.9,101.19999999999708,45.2,91.2,46.0,372.4,384.5,-40.8,-40.8,17.0,9.0,8.0,14.55
1.0,20171128210843.0,20171129045443.0,27960.0,74006.0,85.10000000000579,30.8,100.0,69.2,360.3,398.2,-7.6,-7.8,14.0,6.0,8.0,22.429
