vehicle_id,charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
1,20171115153615,20171115161715,71562.6,65.2,0.0,371.1,0.0,-26.8,-300.0,16.0,10.0,10.643
1,20171231164717,20171231173127,79190.8,57.6,0.0,370.5,0.0,-26.0,-300.0,15.0,8.0,11.409
1,20180111215318,20180112054907,81025.6,29.6,100.0,358.8,398.9,-7.4,-7.6,11.0,0.0,22.901
1,20180123110258,20180123121538,82901.8,42.8,100.0,368.7,397.7,-30.1,-3.1,14.0,0.0,18.468
1,20180123183329,20180123191209,83010.9,36.0,0.0,365.5,0.0,-29.4,-300.0,12.0,4.0,9.955
1,20180124214518,20180125052908,83218.5,31.6,100.0,358.3,400.4,-7.5,-7.8,10.0,0.0,22.327
1,20180126155012,20180126165122,83461.4,,,369.3,397.1,-29.6,-1.7,13.0,3.0,15.191
1,20180127000001,20180127045111,83549.6,,,373.9,399.9,-7.7,-7.7,7.0,1.0,14.085
1,20180127205050,20180128044400,83650.9,29.2,,358.7,399.1,-7.7,-7.6,8.0,1.0,22.764
1,20180128161007,20180128171217,83724.6,,,368.7,389.6,-29.6,-40.0,13.0,3.0,15.879
1,20180128214505,20180129053154,83819.4,31.2,,360.7,399.5,-7.7,-7.7,11.0,0.0,22.469
1,20180129142759,20180129153749,83894.8,,,370.9,400.2,-29.8,-14.5,14.0,2.0,17.522
1,20180129214745,20180130053135,84001.5,30.4,,358.4,400.2,-7.8,-7.6,12.0,1.0,22.327
1,20180130152317,20180130154407,84107.8,40.0,,367.8,380.1,-29.8,-40.5,12.0,8.0,5.298
1,20180130154721,20180130164441,84107.8,,,377.2,400.9,-40.3,-10.7,20.0,11.0,14.331
1,20180130214409,20180131050928,84219.9,33.2,,361.8,399.5,-7.7,-7.6,14.0,3.0,21.436
1,20180131160155,20180131165709,84302.6,,,374.0,397.9,-40.4,-9.7,16.0,8.0,14.13
1,20180131214738,20180201051107,84408.3,33.6,,362.5,397.3,-7.7,-7.7,13.0,3.0,21.345
1,20180201112232,20180201122102,84494.6,,,372.3,387.0,-40.1,-41.1,15.0,5.0,15.254
1,20180201214928,20180202051058,84591.5,35.2,,361.3,399.1,-7.6,-7.8,11.0,4.0,21.251
1,20180203163531,20180203171021,84840.8,,,372.2,398.0,-29.6,-2.6,9.0,4.0,8.62
1,20180203214840,20180204045749,84933.8,35.2,,359.7,398.8,-7.4,-7.6,10.0,0.0,20.648
1,20180204162522,20180204170942,84992.1,,,370.5,399.0,-29.9,-3.3,12.0,5.0,11.271
1,20180204215029,20180205052909,85096.1,31.2,,358.8,399.1,-7.6,-7.6,12.0,2.0,22.06
1,20180205154816,20180205164806,85175.0,,,370.4,398.6,-29.9,-2.7,14.0,5.0,14.993
1,20180205214650,20180206050940,85269.2,33.2,,359.4,399.5,-7.6,-7.7,11.0,0.0,21.317
1,20180206165557,20180206174337,85352.2,,,369.5,385.5,-30.0,-39.9,14.0,6.0,12.151
1,20180206214650,20180207044050,85428.1,38.4,,363.5,397.6,-7.6,-7.7,12.0,1.0,19.936
1,20180207163134,20180207171754,85506.6,,,369.8,387.2,-29.8,-40.2,13.0,6.0,11.831
1,20180207214845,20180208053054,85596.5,31.2,,359.4,397.7,-7.7,-7.7,13.0,2.0,22.226
1,20180208154343,20180208162443,85647.7,,,373.5,398.2,-39.3,-2.7,13.0,6.0,10.246
1,20180208214151,20180209045251,85738.0,35.2,,362.0,399.7,-7.7,-7.6,11.0,3.0,20.744
1,20180209163839,20180209172419,85807.8,,,369.8,387.8,-29.2,-40.3,14.0,8.0,11.797
1,20180209214612,20180210053011,85910.7,30.4,,358.7,398.2,-7.7,-7.6,13.0,2.0,22.32
1,20180210170942,20180210180222,86011.0,38.4,,368.4,383.0,-39.6,-41.0,15.0,5.0,13.682
1,20180210214536,20180211053106,86081.5,31.2,,358.5,397.4,-7.8,-7.7,12.0,2.0,22.392
1,20180211161327,20180211170757,86154.7,,,373.9,397.6,-39.5,-3.1,13.0,4.0,13.896
1,20180211214033,20180212044552,86251.6,36.0,,363.5,398.7,-7.6,-7.6,11.0,3.0,20.474
1,20180212151652,20180212161022,86329.2,,,373.5,397.5,-39.3,-2.8,16.0,8.0,13.382
1,20180212213704,20180213043818,86428.6,36.8,,363.1,397.4,-7.6,-7.6,13.0,4.0,20.288
1,20180213163033,20180213172323,86507.3,,,370.0,397.0,-29.5,-3.0,18.0,10.0,13.263
1,20180213214508,20180214035728,86599.4,,,365.3,396.4,-7.7,-7.8,14.0,7.0,17.936
1,20180214165115,20180214172615,86681.0,,,369.3,383.3,-30.3,-16.4,15.0,9.0,8.967
1,20180214213723,20180215043737,86749.6,37.2,,362.7,397.1,-7.7,-7.8,13.0,4.0,20.24
1,20180216113317,20180216121647,86966.3,,,367.6,382.2,-29.8,-40.8,16.0,9.0,11.312
1,20180216202819,20180217035918,87055.7,33.2,,360.9,398.6,-7.7,-7.8,12.0,4.0,21.722
1,20180217093634,20180217121934,87118.4,,,366.6,377.2,-7.7,-7.6,10.0,5.0,7.796
1,20180217193311,20180218032021,87211.0,30.8,,360.1,399.5,-7.7,-7.6,12.0,6.0,22.491
1,20180218141115,20180218145115,87318.9,39.2,,366.4,380.8,-29.8,-40.2,17.0,11.0,10.162
1,20180218213029,20180219045928,87378.7,33.6,,361.6,400.3,-7.6,-7.7,14.0,7.0,21.625
1,20180219163053,20180219170613,87461.6,,,369.9,383.2,-30.1,-40.9,16.0,10.0,9.215
1,20180219214028,20180220052917,87561.1,30.0,,360.2,400.3,-7.6,-7.6,15.0,7.0,22.558
1,20180220210510,20180221045449,87692.4,30.0,,360.0,399.3,-7.6,-7.7,13.0,7.0,22.6
1,20180221125346,20180221133716,87750.5,,0.0,370.8,0.0,-30.0,-300.0,15.0,8.0,11.08
1,20180221213943,20180222030042,87833.3,,,366.8,398.7,-7.8,-7.7,13.0,8.0,15.481
1,20180222172437,20180222180437,87935.4,,,372.8,381.9,-40.5,-40.5,17.0,11.0,10.255
1,20180223172156,20180223173816,88062.8,,,375.0,383.3,-40.2,-40.2,16.0,12.0,4.201
1,20180223213435,20180223235955,88163.7,34.0,,362.9,373.2,-7.6,-7.7,16.0,12.0,6.93
2,20180421190907,20180421192337,56473.9,6.0,28.0,333.7,350.9,-24.0,0.0,33.0,27.0,7.817
2,20180423160447,20180423162447,57048.6,11.0,42.0,340.5,,-49.1,,30.0,25.0,
2,20180503201108,20180504055620,60045.9,8.0,93.0,333.0,,-9.1,,37.0,24.0,
2,20180504175857,20180504182928,60346.9,27.0,39.0,350.9,355.7,-24.7,0.0,32.0,23.0,4.434
2,20180506204637,20180507060947,60990.3,5.0,89.0,330.9,392.6,-9.3,0.0,30.0,25.0,30.34
2,20180507150959,20180507154200,61209.4,1.0,59.0,335.6,374.7,-54.0,0.0,33.0,27.0,21.015
2,20180508081319,20180508082519,61401.6,67.0,78.0,377.3,,-38.6,,31.0,25.0,
2,20180511140848,20180511142018,62512.9,15.0,31.0,343.0,350.2,-47.5,0.0,36.0,34.0,
2,20180511142548,20180511151249,62513.0,31.0,74.0,353.0,,-37.9,,34.0,24.0,
2,20180512133227,20180512141657,62848.9,20.0,78.0,347.6,,-52.8,,35.0,25.0,
2,20180513140007,20180513140407,63200.5,74.0,76.0,380.1,,-6.0,,26.0,23.0,
2,20180513201645,20180514060557,63358.7,11.0,95.0,335.6,395.7,-9.9,0.0,37.0,24.0,31.087
2,20180520142158,20180520145728,65568.2,4.0,65.0,333.0,376.7,-33.1,0.0,35.0,29.0,22.639
2,20180522122418,20180522130849,66172.8,20.0,80.0,345.6,388.3,-33.6,0.0,33.0,24.0,22.391
2,20180529151041,20180529160242,68468.1,9.0,58.0,334.3,,-25.0,,34.0,24.0,
2,20180601124225,20180601133726,69376.2,18.0,86.0,346.0,391.8,-53.3,0.0,38.0,30.0,25.962
2,20180606153054,20180606154524,71132.3,21.0,44.0,343.8,356.4,-34.2,0.0,35.0,33.0,7.951
2,20180609130347,20180609130917,72061.0,1.0,4.0,318.1,,-33.9,,34.0,31.0,
2,20180610130707,20180610134437,72355.1,34.0,81.0,352.2,,-33.6,,35.0,27.0,
2,20180612134014,20180612141815,73053.9,0.0,68.0,336.7,385.5,-73.1,-58.1,37.0,35.0,24.485
2,20180618201415,20180618205416,75069.7,23.0,29.0,341.7,346.4,-8.8,0.0,31.0,29.0,2.021
2,20180621164120,20180621170650,75937.8,1.0,44.0,336.4,,-66.6,,37.0,35.0,
2,20180623134029,20180623141830,76559.3,4.0,68.0,337.6,379.1,-60.4,0.0,37.0,31.0,23.496
2,20180702204858,20180702204858,79287.6,26.0,26.0,345.6,345.6,-8.7,-8.7,33.0,31.0,0.0
2,20180702210228,20180702210228,79287.6,26.0,26.0,345.6,345.6,-8.6,-8.6,32.0,31.0,0.0
2,20180703162608,20180703162838,79492.0,71.0,71.0,371.8,,-6.8,,34.0,32.0,
2,20180703202503,20180704064046,79594.3,19.0,99.0,336.8,396.2,-8.5,0.0,34.0,25.0,30.518
2,20180705151239,20180705154209,80111.9,4.0,59.0,339.1,372.1,-67.1,0.0,36.0,33.0,19.392
2,20180706133914,20180706141614,80363.6,23.0,76.0,348.0,,-33.7,,36.0,29.0,
2,20180712211821,20180713071233,82401.0,6.0,88.0,326.8,,-9.2,,36.0,24.0,
3,20171101001754,20171101001844,135930.0,31.2,31.2,374.0,374.6,-16.1,-16.1,0.0,0.0,0.084
3,20171101180757,20171101180937,136063.0,5.6,6.4,325.0,328.0,-59.9,-64.2,0.0,0.0,0.569
3,20171101181147,20171101185227,136063.0,6.4,23.6,322.7,363.9,-2.0,-50.3,0.0,0.0,13.623
3,20171101221133,20171101231154,136105.0,15.2,34.4,333.1,374.6,-2.4,-16.4,0.0,0.0,15.671
3,20171102133608,20171102134938,136199.0,17.2,26.0,342.2,365.1,-88.7,-88.6,0.0,0.0,7.073
3,20171102173605,20171102182305,136270.0,12.8,32.8,331.5,370.6,-98.5,-16.4,0.0,0.0,16.443
3,20171102225418,20171102235959,136376.0,6.4,31.2,326.7,374.5,-109.4,-18.3,0.0,0.0,20.324
3,20171211153544,20171211165724,143757.0,6.4,30.4,322.6,374.3,-5.6,-12.6,18.0,5.0,
3,20180123001731,20180123012831,150725.0,5.6,28.0,330.0,370.7,-79.9,-12.5,18.0,0.0,18.169
3,20180125150424,20180125162055,151139.0,16.0,32.8,345.0,374.4,-85.0,-12.5,11.0,0.0,14.111
3,20180128172942,20180128182152,151686.0,14.8,30.4,340.0,370.7,-63.6,-16.3,11.0,0.0,13.012
3,20180210115609,20180210131518,152886.0,14.0,31.6,342.6,374.0,-84.5,-15.0,12.0,0.0,23.527
3,20180212015809,20180212021238,153143.0,23.2,24.0,349.8,351.9,-7.9,-7.9,6.0,0.0,0.669
