vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
2,20180418191231,20180419030111,28120,55462.8,0.0,33.0,98.0,65.0,348.7,397.0,-9.2,-5.2,32.0,28.0,24.566999999999997
2,20180419134344,20180419142114,2250,55676.6,213.79999999999563,10.0,69.0,59.0,336.7,387.2,-32.5,-57.6,35.0,29.0,22.186999999999998
2,20180419190220,20180420032630,30250,55779.1,102.5,28.0,97.0,69.0,346.7,397.0,-8.7,-5.1,36.0,24.0,26.041
2,20180420133949,20180420141920,2371,55979.5,200.40000000000146,19.0,74.0,55.0,348.7,390.9,-62.0,-57.6,37.0,28.0,20.498
2,20180420193555,20180421042735,31900,56106.9,127.40000000000146,23.0,96.0,73.0,344.1,397.0,-9.3,-5.1,37.0,24.0,27.689
2,20180421124429,20180421132029,2160,56322.9,216.0,9.0,68.0,59.0,336.5,385.9,-38.2,-57.7,37.0,30.0,21.995
2,20180421190907,20180421192337,870,56473.9,151.0,6.0,28.0,22.0,333.7,350.9,-24.0,0.0,33.0,27.0,7.817
2,20180421204308,20180422062550,34962,56507.4,33.5,11.0,96.0,85.0,336.5,396.7,-9.6,-5.0,31.0,27.0,31.194000000000003
2,20180422185206,20180423043718,35112,56856.2,348.79999999999563,10.0,94.0,84.0,337.1,397.0,-9.4,-5.0,32.0,25.0,30.99
2,20180423160447,20180423162447,1200,57048.6,192.40000000000146,11.0,42.0,31.0,340.5,,-49.1,,30.0,25.0,
2,20180423194551,20180424055303,36432,57123.0,74.40000000000146,10.0,98.0,88.0,333.7,397.0,-9.7,-4.9,28.0,23.0,32.131
2,20180424134329,20180424144259,3570,57312.4,189.40000000000146,18.0,75.0,57.0,344.6,391.7,-42.8,-56.7,33.0,24.0,21.173000000000002
2,20180424190603,20180425033242,30399,57431.6,119.19999999999709,25.0,97.0,72.0,345.2,397.0,-8.9,-5.0,31.0,25.0,26.879
2,20180425115252,20180425124853,3361,57568.1,136.5,44.0,92.0,48.0,358.8,396.7,-48.9,-17.1,30.0,24.0,18.449
2,20180425190416,20180426005553,21097,57673.6,105.5,57.0,99.0,42.0,357.9,397.1,-8.7,-5.0,31.0,27.0,18.488
2,20180426140552,20180426143524,1772,57887.4,213.8000000000029,12.0,28.0,16.0,338.8,353.8,-32.6,-35.2,35.0,24.0,5.665
2,20180426144054,20180426144224,90,57887.4,0.0,29.0,29.0,0.0,353.1,354.2,-35.2,-35.2,25.0,24.0,0.308
2,20180426144654,20180426151625,1771,57887.4,0.0,30.0,72.0,42.0,353.2,389.1,-35.1,-57.8,30.0,24.0,15.822000000000001
2,20180426191700,20180427034439,30459,58004.6,117.19999999999709,26.0,98.0,72.0,345.6,397.1,-9.2,-5.1,34.0,27.0,26.983
2,20180427122526,20180427130926,2640,58188.8,184.20000000000437,28.0,82.0,54.0,349.1,394.3,-33.2,-32.1,34.0,24.0,20.609
2,20180428130704,20180428134706,2402,58577.7,388.8999999999942,15.0,70.0,55.0,344.5,391.0,-38.0,-57.7,37.0,28.0,20.743000000000002
2,20180428195218,20180428195248,30,58705.7,128.0,20.0,20.0,0.0,344.1,344.6,-8.6,-9.0,35.0,33.0,0.025
2,20180428195548,20180429043859,31391,58705.7,0.0,20.0,93.0,73.0,344.7,397.0,-9.3,-5.0,35.0,24.0,27.45
2,20180429124702,20180429134703,3601,58917.4,211.70000000000437,10.0,83.0,73.0,337.2,395.2,-38.0,-28.3,35.0,23.0,27.599
2,20180429191438,20180430040520,31842,59074.7,157.29999999999563,22.0,96.0,74.0,344.3,397.2,-8.8,-5.0,35.0,24.0,27.551
2,20180501125759,20180501133929,2490,59280.3,205.60000000000582,19.0,76.0,57.0,344.3,393.0,-32.8,-58.7,34.0,26.0,21.563000000000002
2,20180501191906,20180502043817,33551,59424.0,143.6999999999971,18.0,98.0,80.0,340.9,397.0,-9.2,-5.2,33.0,28.0,29.522
2,20180502130917,20180502135448,2731,59630.0,206.0,14.0,79.0,65.0,340.4,394.6,-33.6,-47.8,37.0,27.0,24.497
2,20180502213057,20180503071608,35111,59804.3,174.3000000000029,8.0,95.0,87.0,333.0,396.0,-9.6,-5.0,32.0,26.0,31.616
2,20180503201108,20180504055620,35112,60045.9,241.59999999999854,8.0,93.0,85.0,333.0,,-9.1,,37.0,24.0,
2,20180504175857,20180504182928,1831,60346.9,301.0,27.0,39.0,12.0,350.9,355.7,-24.7,0.0,32.0,23.0,4.434
2,20180504222742,20180505064322,29740,60392.5,45.599999999998545,19.0,91.0,72.0,344.6,396.2,-9.1,-4.9,29.0,26.0,26.518
2,20180505131629,20180505140701,3032,60551.9,159.40000000000146,26.0,81.0,55.0,350.9,395.7,-33.4,-22.9,32.0,24.0,20.901999999999997
2,20180505210919,20180506025226,20587,60660.0,108.09999999999854,45.0,92.0,47.0,359.3,397.1,-8.4,-5.2,29.0,27.0,17.997
2,20180506163731,20180506170001,1350,60866.2,206.1999999999971,17.0,56.0,39.0,343.5,382.9,-33.6,-95.9,31.0,26.0,14.057
2,20180506204637,20180507060947,33790,60990.3,124.10000000000582,5.0,89.0,84.0,330.9,392.6,-9.3,0.0,30.0,25.0,30.34
2,20180507150959,20180507154200,1921,61209.4,219.09999999999854,1.0,59.0,58.0,335.6,374.7,-54.0,0.0,33.0,27.0,21.015
2,20180507195734,20180508054616,35322,61323.7,114.29999999999563,12.0,96.0,84.0,337.7,397.0,-8.8,-5.2,32.0,26.0,30.76
2,20180508081319,20180508082519,720,61401.6,77.90000000000146,67.0,78.0,11.0,377.3,,-38.6,,31.0,25.0,
2,20180508083320,20180508085250,1170,61401.7,0.09999999999854481,78.0,87.0,9.0,385.9,394.8,-26.5,-26.8,25.0,24.0,3.4019999999999997
2,20180508164442,20180508170842,1440,61576.7,175.0,17.0,57.0,40.0,343.1,383.8,-32.8,-96.1,34.0,30.0,15.058
2,20180508191815,20180509015953,24098,61620.9,44.200000000004366,42.0,98.0,56.0,353.3,397.0,-9.1,-5.1,32.0,27.0,21.145
2,20180509134635,20180509142936,2581,61834.5,213.59999999999854,18.0,79.0,61.0,344.3,394.4,-33.0,-47.6,36.0,27.0,22.916
2,20180509195137,20180510042747,30970,61962.6,128.09999999999854,22.0,97.0,75.0,344.5,397.2,-8.9,-5.1,33.0,27.0,27.502
2,20180510122814,20180510131044,2550,62133.3,170.70000000000437,32.0,83.0,51.0,350.8,394.8,-28.6,-32.6,34.0,24.0,19.148
2,20180510192553,20180511041333,31660,62301.3,168.0,22.0,98.0,76.0,343.6,396.9,-9.3,-5.1,33.0,27.0,27.991999999999997
2,20180511140848,20180511142018,690,62512.9,211.59999999999854,15.0,31.0,16.0,343.0,350.2,-47.5,0.0,36.0,34.0,
2,20180511142548,20180511151249,2821,62513.0,0.09999999999854481,31.0,74.0,43.0,353.0,,-37.9,,34.0,24.0,
2,20180511201526,20180512045836,31390,62657.6,144.59999999999854,22.0,98.0,76.0,343.8,397.0,-9.2,-5.1,34.0,28.0,27.865
2,20180512133227,20180512141657,2670,62848.9,191.3000000000029,20.0,78.0,58.0,347.6,,-52.8,,35.0,25.0,
2,20180512203555,20180513052506,31751,62981.0,132.09999999999854,21.0,97.0,76.0,343.0,397.0,-9.0,-4.9,33.0,28.0,28.096
