vehicle_id,charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
1,20171103203711,20171104035411,82965.6,34.0,100.0,363.8,398.2,-7.7,-7.7,18,10,21.11
1,20171104152512,20171104163402,83082.5,43.2,99.2,369.3,389.8,-26.8,-40.4,23,14,17.705
1,20171104202445,20171105015835,83184.8,50.4,100.0,367.4,397.5,-7.6,-7.8,18,12,16.166
1,20171105135203,20171105151323,83339.0,23.2,88.8,361.0,382.0,-23.2,-40.5,27,18,20.595
1,20171105204456,20171106045655,83459.4,27.2,100.0,359.0,399.9,-7.7,-7.6,22,13,23.765
1,20171106132556,20171106144636,83599.5,32.0,97.6,366.4,386.5,-39.5,-40.4,26,16,20.668000000000003
1,20171106212608,20171107055718,83750.7,24.4,100.0,357.6,398.7,-7.8,-7.7,22,13,24.67
1,20171107151604,20171107155524,83852.4,48.0,80.0,369.8,381.1,-26.4,-40.6,24,18,10.058
1,20171107201145,20171108025114,83934.0,40.4,100.0,365.2,397.1,-7.6,-7.7,21,15,19.344
1,20171108142851,20171108153151,84072.1,33.2,80.4,368.7,380.7,-62.8,-37.8,24,17,14.944
1,20171108213505,20171109061215,84191.4,24.0,100.0,357.0,397.0,-7.6,-7.6,20,12,24.956
1,20171109135208,20171109145028,84311.5,42.8,90.0,369.6,382.4,-26.4,-40.3,24,16,14.847999999999999
1,20171109203750,20171110031029,84414.0,42.0,100.0,365.4,398.5,-7.7,-7.7,20,15,19.015
1,20171110165205,20171110171335,84516.6,51.6,68.4,370.4,380.9,-26.3,-40.6,16,12,5.492999999999999
1,20171110212026,20171111031335,84559.4,47.2,100.0,366.4,398.3,-7.8,-7.7,15,10,17.101
1,20171111112342,20171111121322,84643.7,61.2,98.4,366.8,388.6,-5.7,-38.1,16,9,11.865
1,20171111181303,20171111185213,84775.1,34.8,66.4,365.9,379.5,-26.1,-40.2,21,13,9.977
1,20171111204722,20171112031841,84824.2,42.4,100.0,365.6,397.6,-7.7,-7.7,18,10,18.941
1,20171112115418,20171112124908,84912.6,58.4,98.4,372.9,389.3,-36.0,-36.3,18,10,12.724
1,20171112202639,20171113044649,85073.9,25.2,100.0,358.1,398.2,-7.8,-7.8,17,9,24.138
1,20171113124141,20171113134421,85165.0,55.2,98.0,373.7,386.9,-61.7,-34.6,20,13,13.713
1,20171113210028,20171114044037,85311.5,31.2,100.0,361.7,395.9,-7.7,-7.7,17,8,22.233
1,20171114172857,20171115011036,85446.9,31.2,100.0,361.0,400.3,-7.7,-7.8,13,7,22.309
1,20171115123636,20171115132556,85581.1,32.8,73.6,361.9,381.5,-6.1,-42.0,18,10,12.902999999999999
1,20171115134306,20171115141146,85581.1,73.6,97.2,372.8,388.2,-6.2,-42.5,21,15,7.579
1,20171115194050,20171116025130,85709.1,36.0,100.0,363.1,400.0,-7.6,-7.8,15,6,20.813000000000002
1,20171116130408,20171116130838,85854.5,30.4,33.2,359.6,373.6,-3.7,-34.7,15,12,0.93
1,20171116131728,20171116144928,85854.5,33.2,96.4,365.5,385.1,-5.3,-34.1,22,12,20.02
1,20171116203136,20171117021625,85945.1,49.2,100.0,366.9,399.5,-7.8,-7.7,15,8,16.694000000000003
1,20171117164411,20171117172841,86061.7,40.0,76.0,369.2,382.8,-29.3,-40.5,14,7,11.475999999999999
1,20171117193112,20171118015041,86130.5,43.6,100.0,365.9,400.3,-7.6,-7.6,14,6,18.355999999999998
1,20171118151041,20171118162551,86257.0,34.0,95.2,367.2,387.0,-23.2,-40.5,18,7,19.254
1,20171118201938,20171119012351,86332.9,54.8,100.0,367.3,398.9,-7.7,-7.7,13,5,14.732000000000001
1,20171119115939,20171119123349,86395.2,68.4,96.4,374.5,390.0,-42.2,-41.2,11,4,9.094
1,20171119193450,20171120021320,86506.1,40.4,100.0,364.8,399.4,-7.6,-7.6,11,4,19.267
1,20171120130314,20171120131644,86630.8,37.6,48.4,362.7,379.2,-6.5,-40.9,14,11,3.495
1,20171120145036,20171120151246,86630.8,48.4,66.4,375.3,380.8,-41.9,-40.6,17,13,5.821000000000001
1,20171120154123,20171120160313,86630.8,66.4,84.8,377.8,383.2,-42.0,-41.3,20,15,5.767
1,20171120192425,20171121022335,86726.5,37.2,100.0,363.8,398.7,-7.6,-7.7,17,6,20.252
1,20171121133925,20171121145005,86843.6,41.6,98.4,369.4,389.9,-29.6,-40.3,20,9,18.139
1,20171121204643,20171122041453,86976.6,33.6,100.0,362.0,400.5,-7.8,-7.7,16,8,21.658
1,20171122135030,20171122151230,87117.1,32.0,98.8,365.6,389.8,-23.3,-40.0,22,12,20.965999999999998
1,20171122211500,20171123043740,87244.7,34.8,100.0,362.2,399.0,-7.7,-7.7,16,7,21.38
1,20171123180500,20171124011400,87367.9,36.0,100.0,363.7,397.0,-7.6,-7.7,12,6,20.728
1,20171124144028,20171124154908,87477.3,43.2,98.4,368.1,390.1,-31.3,-40.4,19,9,17.621
1,20171124211623,20171125050423,87611.9,30.0,100.0,360.3,400.5,-7.6,-7.6,16,7,22.6
1,20171125150132,20171125161752,87731.7,37.2,98.0,367.5,389.7,-26.5,-39.7,21,11,19.332
1,20171125212417,20171126051851,87872.9,29.2,100.0,359.9,400.3,-7.7,-7.7,17,8,22.897
1,20171126132024,20171126144344,88006.7,31.2,0.0,365.9,0.0,-26.3,-400.0,21,8,21.483
1,20171126193315,20171127023606,88129.2,37.2,100.0,364.3,399.0,-7.7,-7.6,16,3,20.430999999999997
1,20171127135951,20171127145851,88220.3,51.2,98.4,370.8,390.1,-31.3,-40.1,17,8,15.130999999999998
1,20171127202451,20171128034811,88343.5,34.0,100.0,362.0,399.4,-7.8,-7.7,15,7,21.421999999999997
1,20171128135307,20171128150557,88474.3,33.2,92.0,365.2,384.0,-26.9,-40.7,21,11,18.659000000000002
1,20171128195552,20171129015531,88567.6,47.6,100.0,366.3,399.6,-7.7,-7.6,14,5,17.406
1,20171129141520,20171129151240,88664.4,50.0,96.4,373.1,389.3,-40.4,-40.7,14,4,14.966
1,20171129194755,20171130021825,88773.2,42.0,100.0,364.6,398.4,-7.7,-7.7,11,3,18.879
1,20171130125616,20171130134756,88873.5,47.2,96.8,365.5,390.0,-7.1,-48.0,16,5,15.884
1,20171130172029,20171130205009,88929.7,69.6,100.0,368.2,399.0,-7.7,-7.8,14,5,10.181000000000001
1,20171201120846,20171201130436,89023.7,51.2,97.6,364.5,390.0,-2.4,-41.7,15,5,14.769
1,20171201192344,20171202020253,89130.6,40.4,100.0,364.3,398.7,-7.7,-7.7,12,3,19.292
1,20171202131150,20171202141350,89243.0,42.4,97.6,371.6,389.3,-44.5,-44.3,19,8,17.652
1,20171202202437,20171203043237,89380.3,27.6,100.0,358.7,397.8,-7.7,-7.7,16,4,23.539
1,20171203122838,20171203123918,89466.1,54.4,64.0,373.6,381.5,-44.4,-45.6,11,7,3.012
1,20171203132643,20171203140423,89466.1,64.0,97.2,369.4,390.0,-5.5,-44.5,16,9,10.744000000000002
1,20171203193221,20171204013500,89564.0,46.4,100.0,366.1,398.7,-7.7,-7.8,13,4,17.535
1,20171204125624,20171204134144,89705.0,27.2,0.0,357.1,0.0,-1.1,-300.0,18,8,13.912
1,20171204170935,20171204234715,89768.9,41.2,100.0,364.9,396.8,-7.6,-7.6,14,5,19.244
1,20171205200927,20171205235547,89827.5,66.4,100.0,366.9,399.0,-7.7,-7.7,7,4,10.975999999999999
1,20171206184051,20171207023750,89963.6,28.4,100.0,359.8,396.3,-7.6,-7.7,14,8,23.038
1,20171207153745,20171207155145,90080.1,37.2,48.4,367.2,379.9,-23.0,-40.1,12,8,3.553
1,20171207210936,20171208044505,90106.9,32.0,100.0,360.1,397.8,-7.6,-7.7,8,4,22.022
1,20171208141624,20171208153404,90207.5,35.2,98.4,367.6,389.9,-39.7,-41.0,20,8,20.223
1,20171208195151,20171209010321,90281.6,54.4,100.0,367.4,398.6,-7.8,-7.7,15,6,15.08
1,20171209110006,20171209120056,90402.5,38.8,88.0,367.6,383.5,-23.1,-40.4,17,7,15.529000000000002
1,20171209160654,20171209165354,90467.7,58.8,96.4,370.7,387.1,-26.4,-40.7,21,13,12.029000000000002
1,20171210144612,20171210154132,90636.0,46.4,91.6,371.9,384.6,-39.4,-41.2,18,9,14.339
1,20171210194815,20171211031444,90726.3,33.2,100.0,362.0,399.2,-7.7,-7.6,15,6,21.557
1,20171211104558,20171211105518,90748.5,85.6,86.8,373.0,377.1,-7.7,-7.7,4,-1,0.449
1,20171211172215,20171212004754,90837.1,33.2,100.0,362.4,397.6,-7.7,-7.7,8,3,21.526
1,20171212102020,20171212103510,90907.8,58.8,70.4,371.9,384.0,-22.8,-40.1,6,0,3.781
1,20171212104312,20171212111512,90908.0,70.4,96.0,376.2,390.0,-26.1,-40.0,10,3,8.242
1,20171212152923,20171212160253,90988.4,53.2,80.0,370.8,383.5,-22.8,-40.0,14,5,8.53
1,20171212191846,20171213022006,91052.8,37.2,100.0,362.6,397.7,-7.6,-7.6,11,1,20.359
1,20171213083832,20171213084208,91084.4,80.4,80.4,371.9,370.8,-11.0,-2.5,3,-2,0.087
1,20171213084554,20171213102814,91084.5,80.4,96.0,372.2,379.6,-7.6,-7.7,4,-2,4.947
1,20171213150526,20171213151816,91192.1,44.4,54.4,370.2,380.7,-22.9,-40.5,9,5,3.2689999999999997
1,20171213174329,20171214005648,91222.0,35.2,100.0,362.5,398.7,-7.7,-7.8,9,3,20.941
1,20171214124217,20171214133357,91312.5,52.8,97.2,372.7,390.0,-34.7,-43.1,14,4,14.190999999999999
