vehicle_id,charge_start_time,charge_end_time,charge_duration,mileage,delta_mileage,charge_start_soc,charge_end_soc,charge_delta_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy
4,20171101130548,20171101142001,4453,92441.5,0.0,36.0,96.4,60.400000000000006,352.2,369.6,-22.6,-40.6,26,17,18.161
4,20171101192901,20171102030522,27381,92536.1,94.60000000000582,32.0,100.0,68.0,348.3,383.0,-7.6,-7.5,23,14,20.71
4,20171102130715,20171102142614,4739,92625.6,89.5,36.8,90.0,53.2,354.5,365.4,-35.6,-35.7,25,18,16.99
4,20171102143144,20171102143326,102,92625.6,0.0,92.4,92.8,0.3999999999999915,365.1,365.6,-35.8,-35.7,25,23,0.35
4,20171102191148,20171103015926,24458,92719.1,93.5,38.8,100.0,61.2,351.3,383.7,-7.6,-7.7,24,16,18.534
4,20171103124705,20171103140507,4682,92807.8,88.69999999999709,34.8,98.0,63.2,351.7,373.4,-23.2,-40.3,22,13,19.066
4,20171104070630,20171104070730,60,92881.8,74.0,45.2,45.2,0.0,354.1,356.9,-23.6,-23.9,5,2,0.142
4,20171104070945,20171104071225,160,92881.9,0.09999999999126885,45.6,46.8,1.1999999999999957,355.3,359.1,-24.2,-24.5,5,2,0.381
4,20171104071451,20171104072201,430,92881.9,0.0,46.8,50.0,3.200000000000003,356.7,360.5,-24.5,-24.0,5,2,1.029
4,20171104072742,20171104074042,780,92881.9,0.0,50.4,56.4,6.0,353.2,361.2,-1.2,-23.7,6,2,1.857
4,20171104092731,20171104104743,4812,92911.8,29.90000000000873,32.0,100.0,68.0,350.7,371.3,-29.8,-5.8,18,7,19.661
4,20171104182523,20171105022627,28864,93009.5,97.69999999999709,30.8,100.0,69.2,346.4,383.3,-7.5,-7.7,19,12,21.774
4,20171105123531,20171105135355,4704,93110.6,101.10000000000582,30.8,94.0,63.2,349.4,368.9,-23.0,-40.3,23,13,19.118
4,20171105184759,20171106021421,26782,93201.6,91.0,33.2,100.0,66.8,348.7,382.7,-7.6,-7.6,20,13,20.242
4,20171106122542,20171106134805,4943,93300.6,99.0,31.6,97.6,66.0,350.6,372.2,-26.3,-40.1,24,14,19.989
4,20171106191836,20171107023254,26058,93389.7,89.09999999999127,34.8,100.0,65.2,349.6,382.6,-7.5,-7.5,21,14,19.708
4,20171107125108,20171107132920,2292,93478.5,88.80000000000291,36.0,68.0,32.0,351.7,363.8,-29.3,-40.5,22,16,9.434
4,20171107134431,20171107142022,2151,93478.5,0.0,68.0,97.6,29.599999999999994,360.3,372.0,-41.1,-40.9,25,21,8.977
4,20171107185721,20171108011517,22676,93555.7,77.19999999999709,43.2,100.0,56.8,352.6,382.6,-7.5,-7.6,23,16,17.184
4,20171108122338,20171108134001,4583,93648.5,92.80000000000291,37.2,98.4,61.2,352.7,373.7,-35.5,-39.9,23,14,18.533
4,20171111115709,20171111131921,4932,94191.4,542.8999999999942,30.8,97.2,66.4,350.9,371.7,-39.1,-40.2,20,10,20.096
4,20171111184259,20171112020709,26650,94276.2,84.80000000000291,34.0,100.0,66.0,348.5,383.7,-7.5,-7.6,18,9,20.077
4,20171112122514,20171112134616,4862,94381.6,105.40000000000873,32.0,98.4,66.4,351.7,375.1,-39.4,-40.2,21,11,19.897
4,20171112182759,20171113014239,26080,94465.3,83.69999999999709,36.0,100.0,64.0,348.8,382.6,-7.6,-7.4,20,10,19.703
4,20171113123053,20171113135015,4762,94560.3,95.0,31.2,0.0,-31.2,349.6,0.0,-31.0,-300.0,22,13,19.428
4,20171113190909,20171114023550,26801,94656.4,96.09999999999127,33.6,100.0,66.4,348.3,382.6,-7.5,-7.5,18,10,20.227
4,20171114083215,20171114105137,8362,94682.2,25.80000000000291,79.2,100.0,20.799999999999997,355.9,382.8,-7.6,-7.6,10,6,6.335
4,20171114141445,20171114144806,2001,94729.7,47.5,67.2,94.4,27.200000000000003,355.6,369.0,-23.0,-40.5,14,9,8.195
4,20171114190606,20171115013044,23078,94798.0,68.30000000000291,42.0,100.0,58.0,350.9,383.0,-7.4,-7.6,13,7,17.393
4,20171115101944,20171115112557,3973,94872.8,74.80000000000291,43.6,98.0,54.4,355.5,374.3,-39.4,-40.9,15,5,16.46
4,20171115173414,20171116035310,37136,94967.2,94.39999999999418,36.0,100.0,64.0,349.5,382.6,-7.5,-7.6,13,5,27.696
4,20171116124815,20171116140227,4452,95063.6,96.40000000000873,32.0,92.4,60.400000000000006,349.7,368.5,-22.8,-40.4,18,8,18.117
4,20171116183249,20171117020815,27326,95147.2,83.59999999999127,32.0,100.0,68.0,347.5,383.0,-7.6,-7.5,17,8,20.605
4,20171117120959,20171117131651,4012,95233.6,86.40000000000873,33.2,87.2,54.0,352.2,366.9,-39.3,-40.4,17,9,16.343
4,20171117220318,20171118052750,26672,95309.3,75.69999999999709,33.2,100.0,66.8,350.7,382.7,-7.5,-7.6,9,3,20.059
4,20171118123153,20171118135415,4942,95396.2,86.89999999999418,32.8,98.4,65.60000000000001,350.4,370.8,-30.7,-19.1,18,6,19.939
4,20171118181357,20171119013517,26480,95494.5,98.30000000000291,34.0,100.0,66.0,348.5,383.4,-7.6,-7.6,15,5,19.92
4,20171119131035,20171119143017,4782,95579.5,85.0,32.0,95.6,63.599999999999994,350.0,370.7,-23.0,-40.3,17,6,19.278
4,20171119204318,20171120035730,26052,95653.9,74.39999999999418,35.2,100.0,64.8,351.1,383.5,-7.6,-7.5,13,5,19.594
4,20171120122439,20171120134131,4612,95733.4,79.5,36.0,97.6,61.599999999999994,351.6,372.7,-23.2,-40.1,19,9,18.71
4,20171120184548,20171121014915,25407,95811.1,77.70000000001164,36.0,100.0,64.0,349.2,383.5,-7.5,-7.7,16,7,19.15
4,20171121132213,20171121143646,4473,95898.4,87.29999999998836,33.6,94.0,60.4,351.9,369.6,-39.2,-40.7,18,8,18.308
4,20171121192139,20171122024028,26329,95981.3,82.90000000000873,34.0,100.0,66.0,348.9,383.7,-7.5,-7.5,16,8,19.83
4,20171122123438,20171122135149,4631,96072.3,91.0,33.6,95.6,61.99999999999999,351.5,370.6,-26.1,-40.3,19,9,18.729
4,20171122213426,20171123044117,25611,96167.7,95.39999999999418,36.0,100.0,64.0,351.3,383.4,-7.5,-7.5,12,6,19.275
4,20171123120643,20171123132438,4675,96248.3,80.60000000000582,35.2,98.0,62.8,350.7,373.4,-31.3,-40.3,18,8,19.045
4,20171123210726,20171124045008,27762,96338.2,89.89999999999418,31.2,100.0,68.8,349.2,382.8,-7.5,-7.5,13,5,20.865
4,20171124121812,20171124133935,4883,96429.4,91.19999999999709,32.0,100.0,68.0,350.2,372.9,-23.0,-22.3,18,7,19.808
4,20171124213438,20171125045751,26593,96516.3,86.90000000000873,35.2,100.0,64.8,350.5,383.5,-7.5,-7.5,12,5,20.013
4,20171125121006,20171125133330,5004,96610.6,94.30000000000291,30.4,97.2,66.80000000000001,348.1,371.8,-18.4,-39.8,19,9,20.186
4,20171125212029,20171126050121,27652,96708.8,98.19999999999709,31.2,100.0,68.8,349.3,383.2,-7.4,-7.5,14,6,20.804
4,20171126132335,20171126144118,4663,96800.2,91.39999999999418,30.8,93.2,62.400000000000006,349.8,368.7,-22.5,-39.9,18,7,18.9
4,20171126190319,20171127022431,26472,96876.5,76.30000000000291,33.2,100.0,66.8,348.1,382.9,-7.4,-7.6,15,3,19.92
4,20171127113236,20171127124929,4613,96967.9,91.39999999999418,32.0,94.0,62.0,349.2,369.0,-18.3,-40.1,17,7,18.592
4,20171127214131,20171128043310,24699,97043.8,75.90000000000873,38.0,100.0,62.0,352.1,382.8,-7.4,-7.6,11,6,18.593
4,20171128202018,20171129015037,19819,97107.3,63.5,50.4,100.0,49.6,354.4,382.8,-7.5,-7.5,8,3,14.931
